Date,Close/Last,Volume,Open,High,Low
01/07/2026,$16.97,465402,$17.11,$17.20,$16.97
01/06/2026,$17.07,534892,$16.64,$17.11,$16.62
01/05/2026,$16.92,1470046,$16.57,$16.98,$16.57
01/02/2026,$16.34,577298,$16.48,$16.49,$16.08
12/31/2025,$15.97,232100,$15.80,$16.105,$15.80
12/30/2025,$16.10,314691,$16.14,$16.22,$16.10
12/29/2025,$16.14,538370,$16.20,$16.2675,$16.09
12/26/2025,$16.08,490341,$16.15,$16.15,$15.75
12/24/2025,$16.09,181742,$16.29,$16.29,$15.81
12/23/2025,$16.02,329396,$16.10,$16.12,$15.97
12/22/2025,$16.13,620027,$16.10,$16.18,$16.07
12/19/2025,$16.04,524007,$16.07,$16.145,$16.04
12/18/2025,$15.93,733534,$16.15,$16.21,$15.915
12/17/2025,$15.48,699229,$15.65,$15.77,$15.48
12/16/2025,$15.83,829137,$15.90,$15.92,$15.73
12/15/2025,$15.79,813970,$15.83,$15.89,$15.72
12/12/2025,$15.59,724360,$15.67,$15.73,$15.55
12/11/2025,$15.62,604508,$15.54,$15.66,$15.5125
12/10/2025,$15.58,1002828,$15.22,$15.60,$15.22
12/09/2025,$15.21,592116,$15.40,$15.47,$15.19
12/08/2025,$15.46,662609,$15.69,$15.70,$15.44
12/05/2025,$15.67,1078259,$15.48,$15.73,$15.45
12/04/2025,$15.41,630968,$15.76,$15.81,$15.38
12/03/2025,$15.89,1082829,$15.94,$16.03,$15.7201
12/02/2025,$16.00,1273114,$15.52,$16.29,$15.51
12/01/2025,$15.56,571911,$15.48,$15.663,$15.48
11/28/2025,$15.52,229538,$15.37,$15.55,$15.33
11/26/2025,$15.45,353895,$15.38,$15.49,$15.342
11/25/2025,$15.34,620744,$15.10,$15.36,$15.04
11/24/2025,$15.08,636987,$15.12,$15.2099,$15.01
11/21/2025,$15.02,686511,$14.72,$15.11,$14.69
11/20/2025,$14.75,1282415,$15.32,$15.37,$14.73
11/19/2025,$15.25,712641,$15.32,$15.59,$15.18
11/18/2025,$15.27,1181134,$15.46,$15.54,$15.17
11/17/2025,$15.72,748076,$15.69,$15.88,$15.65
11/14/2025,$16.28,414517,$16.11,$16.35,$16.11
11/13/2025,$16.41,378901,$16.75,$16.83,$16.33
11/12/2025,$16.92,1029218,$16.73,$16.95,$16.73
11/11/2025,$16.95,1958494,$16.71,$17.09,$16.66
11/10/2025,$15.71,1018308,$15.61,$15.74,$15.56
11/07/2025,$15.57,514641,$15.51,$15.61,$15.37
11/06/2025,$15.73,421919,$15.94,$15.94,$15.69
11/05/2025,$16.14,3338217,$16.07,$16.19,$16.03
11/04/2025,$16.07,478572,$16.12,$16.1999,$16.02
11/03/2025,$16.51,768685,$16.86,$16.93,$16.44
10/31/2025,$17.17,423585,$17.08,$17.28,$17.06
10/30/2025,$17.45,890823,$17.15,$17.54,$17.15
10/29/2025,$17.55,878210,$18.22,$18.338,$17.46
10/28/2025,$16.87,855897,$17.22,$17.30,$16.71
10/27/2025,$17.53,426188,$17.52,$17.60,$17.40
10/24/2025,$17.57,639032,$17.50,$17.62,$17.46
10/23/2025,$17.44,1171236,$17.13,$17.45,$17.106
10/22/2025,$17.26,511387,$17.36,$17.38,$17.14
10/21/2025,$17.11,264593,$16.88,$17.47,$16.88
10/20/2025,$17.07,479928,$16.88,$17.08,$16.81
10/17/2025,$17.06,750202,$16.90,$17.08,$16.78
10/16/2025,$16.93,1035735,$17.02,$17.085,$16.86
10/15/2025,$16.92,299311,$16.93,$16.98,$16.7445
10/14/2025,$17.03,3584234,$16.70,$17.07,$16.6601
10/13/2025,$17.01,2454603,$16.99,$17.11,$16.98
10/10/2025,$16.85,3464466,$17.42,$17.42,$16.85
10/09/2025,$17.18,1867033,$17.36,$17.36,$17.14
