Date,Close/Last,Volume,Open,High,Low
12/24/2025,$14.04,2234707,$14.00,$14.06,$13.70
12/23/2025,$14.02,3887513,$14.40,$14.56,$13.88
12/22/2025,$14.62,5203716,$14.56,$15.03,$14.51
12/19/2025,$14.44,6687847,$13.81,$14.44,$13.81
12/18/2025,$13.77,4835917,$14.46,$14.54,$13.715
12/17/2025,$14.05,4473930,$14.415,$14.58,$14.00
12/16/2025,$14.49,7210163,$14.39,$14.55,$14.14
12/15/2025,$14.65,4219070,$15.29,$15.32,$14.55
12/12/2025,$15.27,4297101,$16.00,$16.00,$15.0709
12/11/2025,$15.92,5028046,$15.72,$16.31,$15.61
12/10/2025,$15.82,5705060,$15.89,$16.40,$15.73
12/09/2025,$16.03,5371623,$15.27,$16.185,$15.2088
12/08/2025,$15.46,6713677,$15.12,$15.90,$15.12
12/05/2025,$15.08,6723161,$15.38,$15.43,$14.80
12/04/2025,$15.32,14087310,$14.95,$15.87,$14.85
12/03/2025,$15.01,9593064,$14.34,$15.17,$14.17
12/02/2025,$14.37,5361650,$14.19,$14.64,$14.17
12/01/2025,$14.09,3969956,$14.02,$14.425,$13.99
11/28/2025,$14.45,2273066,$14.20,$14.535,$14.16
11/26/2025,$14.16,4936330,$14.23,$14.475,$14.16
11/25/2025,$14.18,5264103,$13.52,$14.205,$13.28
11/24/2025,$13.52,4809179,$13.73,$13.79,$13.395
11/21/2025,$13.63,8430044,$12.83,$13.70,$12.59
11/20/2025,$12.85,8359736,$13.72,$14.155,$12.735
11/19/2025,$13.54,4614364,$13.65,$13.93,$13.28
11/18/2025,$13.74,7470322,$13.25,$14.15,$13.195
11/17/2025,$13.44,5080230,$13.98,$14.07,$13.31
11/14/2025,$14.07,6732574,$13.65,$14.3726,$13.59
11/13/2025,$14.10,8385916,$14.60,$14.675,$13.66
11/12/2025,$14.83,7497585,$15.39,$15.611,$14.65
11/11/2025,$15.31,9277484,$15.50,$15.6683,$14.90
11/10/2025,$16.08,14426310,$15.88,$17.455,$15.20
11/07/2025,$15.52,5121442,$14.90,$15.54,$14.715
11/06/2025,$15.18,4986470,$16.05,$16.15,$15.11
11/05/2025,$16.07,4978734,$15.84,$16.07,$15.67
11/04/2025,$15.78,6887918,$16.51,$16.77,$15.77
11/03/2025,$17.14,5197838,$17.40,$17.535,$16.97
10/31/2025,$17.58,4890054,$17.04,$17.59,$16.84
10/30/2025,$17.03,4415288,$17.47,$17.47,$17.01
10/29/2025,$17.55,5522030,$17.96,$18.16,$17.27
10/28/2025,$18.10,4293476,$18.36,$18.635,$17.965
10/27/2025,$18.36,5386726,$18.15,$18.64,$17.94
10/24/2025,$17.85,4639284,$18.30,$18.39,$17.75
10/23/2025,$17.95,3698072,$17.59,$18.045,$17.51
10/22/2025,$17.56,5789776,$17.87,$18.02,$17.195
10/21/2025,$18.23,3672466,$18.28,$18.545,$18.02
10/20/2025,$18.42,5117876,$18.10,$18.7899,$18.00
10/17/2025,$17.71,5635914,$17.75,$18.08,$17.50
10/16/2025,$18.06,8140862,$19.28,$19.60,$17.84
10/15/2025,$19.27,7170705,$19.40,$19.80,$18.67
10/14/2025,$18.99,7677996,$18.88,$19.35,$18.39
10/13/2025,$19.37,8131699,$18.25,$19.39,$18.20
10/10/2025,$17.91,9210398,$19.03,$19.385,$17.68
10/09/2025,$18.92,6052731,$19.13,$19.17,$18.71
10/08/2025,$19.13,8019164,$19.32,$19.51,$18.80
10/07/2025,$19.12,10585030,$19.86,$20.055,$18.64
10/06/2025,$19.66,16480270,$20.12,$20.22,$19.13
10/03/2025,$19.16,14946190,$18.56,$19.27,$18.32
10/02/2025,$18.24,9180678,$17.67,$18.26,$17.4812
10/01/2025,$17.50,6119811,$17.37,$17.51,$17.07
09/30/2025,$17.34,6162381,$17.28,$17.535,$16.92
09/29/2025,$17.32,6121365,$17.21,$17.42,$16.95
09/26/2025,$17.14,5744380,$17.30,$17.6787,$17.05
09/25/2025,$17.28,8178020,$17.69,$17.81,$17.07
09/24/2025,$18.14,5810617,$18.34,$18.52,$18.02
09/23/2025,$18.12,9206953,$18.74,$18.968,$17.84
09/22/2025,$18.51,10380530,$17.765,$18.815,$17.38
09/19/2025,$17.90,11191690,$18.025,$18.1185,$17.5607
09/18/2025,$18.02,10710930,$17.69,$18.335,$17.469
09/17/2025,$17.24,7291309,$17.50,$17.75,$16.78
09/16/2025,$17.50,9314621,$17.51,$17.58,$16.92
09/15/2025,$17.53,10768920,$16.56,$17.57,$16.40
09/12/2025,$16.43,8928658,$16.45,$16.83,$16.13
09/11/2025,$16.40,10372680,$15.67,$16.53,$15.5992
09/10/2025,$15.61,6972256,$15.80,$15.97,$15.39
09/09/2025,$15.74,6746729,$15.51,$15.78,$15.425
09/08/2025,$15.74,10345250,$15.67,$16.10,$15.345
09/05/2025,$15.62,12604180,$15.82,$15.96,$15.185
09/04/2025,$15.46,29778610,$14.95,$16.24,$14.80
09/03/2025,$16.68,17413930,$16.93,$17.0599,$16.46
09/02/2025,$16.82,6869577,$16.54,$17.14,$16.40
08/29/2025,$16.91,6692006,$17.33,$17.51,$16.715
08/28/2025,$17.31,4493585,$17.37,$17.54,$17.215
08/27/2025,$17.31,5430662,$17.02,$17.36,$16.99
08/26/2025,$16.91,6184293,$17.05,$17.32,$16.78
08/25/2025,$17.09,5185915,$17.55,$17.68,$17.05
08/22/2025,$17.50,6985260,$17.00,$17.64,$16.90
08/21/2025,$16.86,4273176,$16.90,$16.92,$16.56
08/20/2025,$16.94,8397348,$17.23,$17.315,$16.28
08/19/2025,$17.38,7778711,$18.14,$18.25,$17.26
08/18/2025,$18.20,7615428,$18.115,$18.495,$17.85
08/15/2025,$17.85,7172379,$18.08,$18.19,$17.72
08/14/2025,$17.96,12387160,$18.20,$18.50,$17.66
08/13/2025,$18.60,22499720,$17.00,$18.6364,$16.9406
08/12/2025,$16.91,18170650,$16.52,$17.137,$16.16
08/11/2025,$16.47,66986350,$15.17,$17.29,$14.70
08/08/2025,$22.13,6485813,$22.74,$22.95,$22.07
08/07/2025,$22.66,6034273,$23.50,$23.68,$22.22
08/06/2025,$23.25,4677148,$23.32,$23.505,$22.71
08/05/2025,$23.29,5007162,$23.40,$23.76,$23.00
