Date,Close/Last,Volume,Open,High,Low
12/29/2025,$187.06,899,$183.00,$187.06,$183.00
12/26/2025,$181.275,894,$181.275,$181.275,$181.275
12/24/2025,$186.40,342,$186.40,$186.40,$186.40
12/23/2025,$183.00,859,$182.24,$185.72,$182.24
12/22/2025,$180.75,8154,$184.50,$184.50,$180.75
12/19/2025,$181.23,2421,$174.545,$183.6592,$174.545
12/18/2025,$180.5399,1944,$180.55,$182.98,$180.5399
12/17/2025,$184.75,1132,$182.70,$184.75,$182.70
12/16/2025,$183.86,N/A,$183.86,$183.86,$183.86
12/15/2025,$183.86,1148,$180.86,$183.96,$180.7599
12/12/2025,$181.92,N/A,$181.92,$181.92,$181.92
12/11/2025,$181.92,N/A,$181.92,$181.92,$181.92
12/10/2025,$181.92,822,$179.60,$181.92,$179.60
12/09/2025,$179.0999,1365,$183.7797,$183.7797,$179.0999
12/08/2025,$180.94,1208,$179.0999,$182.35,$179.0999
12/05/2025,$179.4875,1118,$182.325,$182.325,$179.4875
12/04/2025,$183.275,N/A,$183.275,$183.275,$183.275
12/03/2025,$183.275,7499,$179.96,$183.275,$179.96
12/02/2025,$179.0999,2140,$180.95,$180.95,$179.0999
12/01/2025,$180.35,1737,$184.00,$184.00,$180.35
11/28/2025,$183.74,349,$183.74,$183.74,$183.74
11/26/2025,$188.50,1776,$185.00,$188.50,$185.00
11/25/2025,$187.72,1815,$184.50,$187.72,$184.50
11/24/2025,$182.70,881,$179.925,$182.70,$179.925
11/21/2025,$182.58,1865,$178.26,$182.58,$178.26
11/20/2025,$177.85,929,$178.98,$178.98,$177.85
11/19/2025,$179.82,1133,$180.00,$180.26,$179.82
11/18/2025,$175.2049,866,$175.2049,$175.2049,$175.2049
11/17/2025,$175.245,1218,$177.00,$177.8725,$175.245
11/14/2025,$174.8249,779,$178.24,$178.24,$174.8249
11/13/2025,$177.50,3773,$168.60,$178.58,$168.60
11/12/2025,$175.66,807,$175.22,$175.66,$175.22
11/11/2025,$175.20,2084,$174.90,$175.20,$174.90
11/10/2025,$174.90,1267,$170.93,$174.90,$170.155
11/07/2025,$166.17,833,$169.5848,$169.5848,$166.17
11/06/2025,$169.00,793,$165.25,$169.00,$165.25
11/05/2025,$165.26,N/A,$165.26,$165.26,$165.26
11/04/2025,$165.26,1933,$161.00,$165.46,$161.00
11/03/2025,$161.90,1164,$165.10,$165.10,$161.90
10/31/2025,$163.675,N/A,$163.675,$163.675,$163.675
10/30/2025,$163.675,N/A,$163.675,$163.675,$163.675
10/29/2025,$163.675,938,$164.045,$167.46,$163.675
10/28/2025,$165.58,1435,$165.68,$165.68,$165.5399
