Date,Close/Last,Volume,Open,High,Low
01/07/2026,$71.47,6117325,$71.194,$72.22,$70.045
01/06/2026,$70.00,5470864,$68.57,$70.01,$68.39
01/05/2026,$68.45,8109861,$65.095,$69.30,$64.90
01/02/2026,$65.15,6830089,$65.72,$65.72,$62.52
12/31/2025,$65.09,3487538,$65.50,$65.90,$65.035
12/30/2025,$65.54,2958790,$65.83,$65.99,$65.45
12/29/2025,$65.92,4216682,$65.99,$66.40,$65.4751
12/26/2025,$66.27,3118434,$65.875,$66.47,$65.34
12/24/2025,$66.05,3017685,$64.75,$66.74,$64.61
12/23/2025,$64.94,5068231,$64.39,$65.18,$63.92
12/22/2025,$65.15,6321965,$65.58,$66.41,$64.84
12/19/2025,$65.33,10063110,$64.59,$65.77,$64.56
12/18/2025,$64.39,4593672,$64.65,$65.90,$64.16
12/17/2025,$63.77,4947465,$64.68,$65.74,$63.64
12/16/2025,$64.55,6213156,$64.30,$65.50,$63.875
12/15/2025,$64.02,6711926,$65.63,$66.40,$63.95
12/12/2025,$64.75,6642301,$63.61,$65.12,$62.80
12/11/2025,$63.61,5945385,$63.12,$64.11,$62.67
12/10/2025,$63.29,5490994,$61.45,$63.35,$60.9821
12/09/2025,$61.57,5117966,$60.58,$62.0799,$60.2226
12/08/2025,$61.04,6154323,$61.35,$61.71,$60.42
12/05/2025,$61.11,6670947,$61.26,$62.37,$60.73
12/04/2025,$62.19,6966772,$61.29,$62.22,$60.70
12/03/2025,$61.11,13314660,$61.04,$62.90,$60.29
12/02/2025,$60.11,20737710,$64.73,$65.275,$59.97
12/01/2025,$64.35,8119926,$65.66,$66.56,$64.32
11/28/2025,$66.80,3459937,$65.73,$67.48,$65.50
11/26/2025,$65.03,6770474,$63.86,$66.13,$63.55
11/25/2025,$63.69,7223766,$62.04,$63.775,$61.81
11/24/2025,$61.86,7393553,$62.015,$62.72,$61.18
11/21/2025,$61.95,13057360,$62.59,$62.95,$59.57
11/20/2025,$61.95,17531000,$64.31,$65.62,$61.83
11/19/2025,$62.00,19763000,$58.54,$62.75,$56.96
11/18/2025,$57.64,7519653,$58.38,$59.54,$57.29
11/17/2025,$58.89,7088427,$61.31,$61.414,$58.15
11/14/2025,$60.48,9189364,$61.03,$62.19,$60.17
11/13/2025,$62.30,8568851,$65.37,$65.67,$61.63
11/12/2025,$65.77,5145915,$65.85,$66.45,$64.985
11/11/2025,$65.91,5397381,$66.285,$66.70,$65.3901
11/10/2025,$66.80,8017427,$66.64,$68.05,$64.97
11/07/2025,$65.45,21402420,$61.36,$66.74,$61.36
11/06/2025,$70.93,11236390,$74.34,$75.10,$70.86
11/05/2025,$73.65,5310773,$72.88,$74.6493,$72.35
11/04/2025,$72.58,4983615,$73.11,$73.625,$71.26
11/03/2025,$74.30,5317834,$76.15,$76.6499,$73.638
10/31/2025,$75.94,7364668,$74.61,$76.4378,$74.44
10/30/2025,$73.92,6301836,$76.47,$76.47,$73.715
10/29/2025,$76.51,8029398,$77.805,$78.15,$75.07
10/28/2025,$80.18,3954617,$80.16,$81.70,$79.77
10/27/2025,$80.15,5158545,$80.58,$81.49,$79.90
10/24/2025,$79.54,3866928,$79.80,$80.38,$79.2005
10/23/2025,$78.56,4695938,$76.13,$79.29,$75.76
10/22/2025,$75.92,4609949,$77.34,$77.34,$75.23
10/21/2025,$77.73,4362411,$76.24,$78.87,$76.05
10/20/2025,$76.50,4538172,$75.94,$76.87,$74.8401
10/17/2025,$75.20,4416733,$73.78,$75.71,$73.38
10/16/2025,$74.54,5590257,$76.35,$77.69,$74.40
10/15/2025,$76.13,3672518,$76.89,$77.80,$75.33
10/14/2025,$76.18,5239310,$73.22,$77.44,$71.92
10/13/2025,$75.02,5383772,$75.97,$76.05,$74.43
10/10/2025,$74.67,8802335,$80.66,$80.97,$74.2902
10/09/2025,$80.85,4193555,$81.09,$81.50,$80.01
10/08/2025,$81.11,6024895,$79.86,$81.685,$79.05
10/07/2025,$79.02,5428046,$78.40,$79.97,$77.74
10/06/2025,$77.78,5324080,$77.55,$78.80,$76.69
10/03/2025,$76.95,5761668,$76.69,$78.245,$76.10
10/02/2025,$76.81,7856009,$73.80,$77.24,$73.70
10/01/2025,$73.40,6640706,$72.57,$73.62,$71.835
09/30/2025,$72.27,7838116,$75.32,$75.665,$71.61
09/29/2025,$75.39,7237194,$74.45,$76.155,$74.335
09/26/2025,$73.67,6578225,$73.385,$73.83,$71.44
09/25/2025,$73.68,7447972,$75.04,$75.79,$72.84
09/24/2025,$76.49,5065809,$76.23,$78.41,$75.99
09/23/2025,$76.54,7218095,$77.69,$79.00,$75.48
09/22/2025,$77.41,9005266,$76.50,$77.69,$74.72
09/19/2025,$77.03,7600290,$77.70,$77.71,$76.17
09/18/2025,$77.37,5443779,$76.20,$78.30,$75.76
09/17/2025,$75.71,5296920,$75.88,$77.25,$74.53
09/16/2025,$75.78,5512156,$74.56,$75.96,$73.801
09/15/2025,$74.63,6474819,$73.33,$75.20,$73.10
09/12/2025,$72.87,4621316,$73.60,$74.215,$72.845
09/11/2025,$74.23,4196722,$73.94,$74.77,$73.4462
09/10/2025,$73.75,5756264,$75.795,$76.79,$73.05
09/09/2025,$75.51,4162343,$75.63,$76.67,$75.00
09/08/2025,$75.82,5191548,$75.05,$75.98,$74.885
09/05/2025,$74.94,4785770,$76.30,$77.075,$73.69
09/04/2025,$75.75,4804865,$75.73,$75.96,$73.72
09/03/2025,$75.79,4974978,$76.30,$76.375,$75.34
09/02/2025,$76.23,6813698,$76.81,$77.10,$75.185
08/29/2025,$79.64,6205702,$80.80,$82.25,$79.14
08/28/2025,$80.78,5019582,$79.98,$81.39,$79.756
08/27/2025,$79.39,4027606,$78.58,$79.685,$78.44
08/26/2025,$78.78,5128313,$78.46,$79.01,$77.73
08/25/2025,$79.08,6549253,$78.39,$80.32,$78.39
08/22/2025,$79.12,12035340,$73.55,$79.385,$73.47
08/21/2025,$74.09,6961876,$73.72,$74.15,$72.51
08/20/2025,$74.18,7093111,$73.58,$74.28,$71.45
08/19/2025,$74.30,5387018,$76.85,$77.25,$74.04
08/18/2025,$76.73,6781357,$76.00,$77.46,$75.76
08/15/2025,$75.80,6691825,$76.19,$76.88,$75.23
08/14/2025,$76.04,6560309,$76.17,$76.5398,$74.47
08/13/2025,$76.95,8084345,$74.765,$77.0625,$74.758
08/12/2025,$74.54,7060824,$73.58,$75.50,$73.58
08/11/2025,$73.03,10171970,$74.08,$74.7575,$72.39
08/08/2025,$73.39,22800820,$82.125,$82.50,$73.20
08/07/2025,$76.85,14968790,$76.125,$77.37,$76.00
08/06/2025,$76.13,6488668,$75.33,$76.88,$75.33
08/05/2025,$75.29,7207358,$75.98,$76.10,$74.0101
08/04/2025,$76.12,6082223,$75.02,$76.63,$74.42
08/01/2025,$74.03,8235263,$75.00,$75.22,$72.9845
07/31/2025,$77.26,6769769,$76.78,$78.08,$76.00
07/30/2025,$77.59,7352217,$77.705,$78.75,$77.049
07/29/2025,$78.18,10631990,$79.70,$81.06,$77.64
07/28/2025,$80.57,9578650,$81.20,$82.18,$80.365
07/25/2025,$80.74,6348691,$79.755,$81.08,$78.93
07/24/2025,$79.77,9377457,$79.445,$81.13,$79.31
07/23/2025,$79.70,13249810,$79.81,$80.36,$78.45
07/22/2025,$79.27,139479500,$78.46,$79.585,$78.26
07/21/2025,$78.08,49143460,$78.61,$79.44,$76.80
07/18/2025,$72.82,10786380,$72.01,$73.25,$71.17
07/17/2025,$70.73,7795251,$69.82,$71.52,$69.615
07/16/2025,$69.03,8209948,$66.53,$69.10,$66.262
07/15/2025,$66.01,6706060,$67.98,$68.22,$65.96
07/14/2025,$68.68,11130920,$66.73,$69.84,$66.4001
07/11/2025,$65.14,12851620,$67.80,$68.56,$64.85
07/10/2025,$68.76,4166248,$68.95,$69.23,$67.80
07/09/2025,$69.01,5340813,$68.32,$69.04,$67.45
07/08/2025,$67.84,6872856,$70.215,$70.98,$67.7009
07/07/2025,$69.41,7545042,$68.71,$70.2699,$67.73
07/03/2025,$69.23,4369301,$69.665,$69.70,$68.58
07/02/2025,$69.22,7032657,$68.17,$70.09,$68.00
07/01/2025,$68.27,7204246,$67.74,$68.93,$66.875
06/30/2025,$67.93,5628569,$67.14,$68.40,$67.06
06/27/2025,$66.63,9854322,$65.38,$67.01,$65.08
06/26/2025,$65.11,5097188,$64.88,$65.205,$63.8012
06/25/2025,$64.81,5395949,$65.765,$65.765,$64.33
06/24/2025,$65.34,6303221,$64.61,$65.72,$64.30
06/23/2025,$63.62,6018683,$62.995,$63.99,$61.87
06/20/2025,$63.59,6941923,$63.54,$64.30,$63.00
06/18/2025,$63.09,8344451,$63.06,$63.91,$61.34
06/17/2025,$63.32,5408209,$64.045,$64.54,$63.06
06/16/2025,$64.82,6561696,$62.73,$65.18,$62.66
06/13/2025,$61.57,7035110,$62.21,$62.9906,$61.345
06/12/2025,$63.85,5193918,$63.60,$65.32,$63.31
06/11/2025,$64.06,6419751,$64.91,$65.45,$63.78
06/10/2025,$64.48,9970953,$65.48,$65.6848,$63.99
06/09/2025,$65.84,7128063,$65.45,$66.46,$64.775
06/06/2025,$64.99,7824511,$64.54,$65.22,$63.4828
06/05/2025,$63.60,8165546,$63.62,$64.90,$63.15
06/04/2025,$63.86,7559276,$63.72,$64.07,$62.55
06/03/2025,$63.51,7697552,$63.725,$63.80,$62.01
06/02/2025,$61.76,6094155,$60.36,$61.8875,$59.90
05/30/2025,$61.75,11486780,$61.72,$62.09,$60.885
05/29/2025,$62.16,7510012,$62.27,$63.11,$61.675
05/28/2025,$61.81,6605890,$62.515,$62.515,$61.33
05/27/2025,$62.15,12008410,$60.05,$62.66,$59.85
05/23/2025,$58.74,9695939,$56.415,$59.095,$55.88
05/22/2025,$58.35,12529790,$55.60,$59.08,$55.60
05/21/2025,$55.44,10101730,$56.55,$57.01,$55.19
05/20/2025,$57.34,5689738,$58.445,$58.65,$57.03
05/19/2025,$58.33,7197391,$56.18,$58.49,$56.08
05/16/2025,$57.66,7034758,$56.49,$58.12,$56.48
05/15/2025,$57.01,11546460,$57.145,$57.88,$56.46
05/14/2025,$58.50,13394030,$59.61,$59.85,$57.71
05/13/2025,$58.17,20820340,$55.185,$58.6851,$54.8604
05/12/2025,$55.02,13204520,$53.185,$55.06,$53.185
05/09/2025,$50.36,12274630,$50.23,$51.27,$50.09
05/08/2025,$50.11,13090470,$48.125,$50.785,$48.125
05/07/2025,$47.95,14816900,$47.48,$48.18,$47.11
05/06/2025,$47.29,18029110,$45.70,$48.0199,$45.65
05/05/2025,$46.64,18628230,$45.92,$46.94,$45.025
05/02/2025,$46.53,54280120,$45.325,$47.00,$44.27
05/01/2025,$58.48,10666950,$59.02,$59.68,$58.21
04/30/2025,$58.47,6625537,$57.02,$58.70,$56.4135
04/29/2025,$59.56,4547704,$58.74,$59.82,$58.50
04/28/2025,$58.32,4578683,$58.55,$59.27,$57.52
04/25/2025,$58.09,5625894,$57.67,$58.27,$57.22
04/24/2025,$57.50,6468768,$55.79,$57.52,$55.18
04/23/2025,$55.66,8388837,$56.90,$58.75,$55.22
04/22/2025,$54.33,6058768,$53.02,$54.83,$52.995
04/21/2025,$52.39,5836774,$52.92,$53.45,$51.3987
04/17/2025,$53.90,4510036,$53.65,$54.4175,$53.03
04/16/2025,$53.75,6318002,$54.20,$55.50,$52.77
04/15/2025,$55.08,4012871,$54.82,$55.90,$54.58
04/14/2025,$54.66,7027231,$55.31,$55.70,$53.64
04/11/2025,$53.94,8623134,$52.86,$54.15,$51.00
04/10/2025,$52.91,9573964,$54.34,$54.88,$50.93
04/09/2025,$55.99,12475670,$49.05,$56.77,$47.95
04/08/2025,$49.08,9909735,$52.93,$53.339,$48.13
04/07/2025,$50.47,13017670,$47.05,$53.45,$46.42
04/04/2025,$50.26,15195690,$50.31,$51.88,$47.69
04/03/2025,$53.97,13288060,$54.74,$55.4406,$52.47
04/02/2025,$57.86,9187888,$54.00,$58.71,$53.903
04/01/2025,$55.41,7649914,$53.89,$55.52,$53.77
03/31/2025,$54.33,8163748,$53.89,$54.69,$52.25
03/28/2025,$55.33,10691960,$56.54,$57.00,$54.69
03/27/2025,$56.99,7927094,$58.76,$58.90,$56.88
03/26/2025,$59.05,8962337,$60.89,$61.36,$58.80
03/25/2025,$61.33,7366119,$62.765,$63.69,$61.21
03/24/2025,$62.58,9048790,$62.38,$63.18,$62.00
03/21/2025,$61.11,11395630,$60.35,$61.58,$59.60
03/20/2025,$61.00,6344104,$60.57,$62.38,$60.44
03/19/2025,$61.37,8622518,$60.455,$62.43,$59.60
03/18/2025,$59.65,8248552,$59.90,$60.09,$58.78
03/17/2025,$58.65,7701845,$56.65,$59.435,$56.65
03/14/2025,$57.22,8942303,$55.50,$57.5209,$55.3467
03/13/2025,$54.04,8632458,$55.34,$55.71,$53.88
03/12/2025,$55.90,9003682,$56.38,$56.746,$55.21
03/11/2025,$55.29,11439970,$54.76,$56.14,$53.95
03/10/2025,$54.74,15663170,$58.14,$58.42,$53.54
03/07/2025,$60.00,10863940,$59.805,$61.02,$57.61
03/06/2025,$59.80,10868940,$59.05,$60.9654,$58.674
03/05/2025,$61.12,9759100,$59.80,$61.65,$59.43
03/04/2025,$59.43,15104850,$60.39,$61.14,$57.90
03/03/2025,$62.79,10062450,$65.75,$66.90,$62.31
02/28/2025,$65.30,7843563,$63.87,$65.41,$63.11
02/27/2025,$64.28,12273330,$65.01,$66.76,$63.91
02/26/2025,$65.29,19627280,$63.45,$65.61,$63.25
