Date,Close/Last,Volume,Open,High,Low
12/22/2025,68.66,277523,68.72,68.72,68.63
12/19/2025,68.675,88710,68.72,68.74,68.6544
12/18/2025,68.80,138406,68.80,68.8299,68.765
12/17/2025,69.4875,87664,69.47,69.5142,69.45
12/16/2025,69.515,108472,69.41,69.52,69.3845
12/15/2025,69.41,546622,69.47,69.485,69.3801
12/12/2025,69.3255,106462,69.29,69.345,69.29
12/11/2025,69.45,110183,69.51,69.55,69.43
12/10/2025,69.4506,106907,69.31,69.4555,69.28
12/09/2025,69.355,106667,69.41,69.43,69.33
12/08/2025,69.34,124624,69.46,69.47,69.2701
12/05/2025,69.4849,70223,69.61,69.61,69.45
12/04/2025,69.59,71990,69.67,69.67,69.56
12/03/2025,69.69,112755,69.67,69.75,69.635
12/02/2025,69.62,93838,69.55,69.63,69.515
12/01/2025,69.57,83296,69.585,69.5899,69.53
11/28/2025,69.9913,38830,70.02,70.0599,69.9355
11/26/2025,70.0689,70593,70.05,70.075,69.9001
11/25/2025,70.0056,59164,69.94,70.03,69.92
11/24/2025,69.875,75441,69.85,69.895,69.81
11/21/2025,69.81,79005,69.82,69.83,69.72
11/20/2025,69.6482,64452,69.62,69.69,69.62
11/19/2025,69.59,80392,69.68,69.6895,69.5638
11/18/2025,69.6449,161746,69.71,69.74,69.57
11/17/2025,69.615,78574,69.63,69.6582,69.602
11/14/2025,69.5925,87837,69.75,69.755,69.59
11/13/2025,69.705,85187,69.74,69.795,69.70
11/12/2025,69.8843,173575,69.92,69.92,69.835
11/11/2025,69.9051,75068,69.83,69.915,69.83
11/10/2025,69.765,91086,69.73,69.79,69.73
11/07/2025,69.755,74732,69.70,69.81,69.70
11/06/2025,69.7943,87787,69.72,69.84,69.72
11/05/2025,69.645,131572,69.77,69.7795,69.62
11/04/2025,69.79,109909,69.73,69.85,69.73
11/03/2025,69.7665,105024,69.79,69.815,69.712
10/31/2025,70.0398,80461,70.08,70.09,70.01
10/30/2025,70.0183,65168,69.95,70.0599,69.91
10/29/2025,70.0388,107278,70.36,70.36,70.00
10/28/2025,70.315,75444,70.29,70.32,70.27
10/27/2025,70.2691,102531,70.22,70.29,70.16
10/24/2025,70.2147,200318,70.24,70.245,70.17
10/23/2025,70.195,89735,70.25,70.265,70.19
10/22/2025,70.3114,57125,70.31,70.3156,70.25
10/21/2025,70.2883,121551,70.28,70.35,70.27
10/20/2025,70.2258,112819,70.21,70.23,70.17
10/17/2025,70.165,87092,70.20,70.21,70.107
10/16/2025,70.2536,147820,70.04,70.26,70.0201
10/15/2025,70.055,75794,70.08,70.14,70.02
10/14/2025,70.035,68121,69.93,70.055,69.91
10/13/2025,69.95,67593,69.84,69.95,69.8115
10/10/2025,69.8473,67261,69.74,69.87,69.70
10/09/2025,69.565,84277,69.60,69.60,69.535
10/08/2025,69.6229,82691,69.72,69.72,69.61
10/07/2025,69.5545,64723,69.51,69.60,69.48
10/06/2025,69.4542,148269,69.47,69.5299,69.43
10/03/2025,69.615,119810,69.75,69.75,69.61
10/02/2025,69.655,71997,69.57,69.67,69.545
10/01/2025,69.595,83479,69.62,69.65,69.5307
09/30/2025,69.6637,87050,69.71,69.775,69.655
09/29/2025,69.675,81905,69.59,69.69,69.58
09/26/2025,69.5455,53980,69.54,69.6255,69.5147
09/25/2025,69.495,87865,69.50,69.53,69.42
09/24/2025,69.5651,48369,69.62,69.62,69.555
09/23/2025,69.6463,87824,69.63,69.6562,69.58
09/22/2025,69.575,91534,69.60,69.63,69.565
09/19/2025,69.645,99157,69.65,69.6596,69.585
09/18/2025,69.615,85069,69.64,69.6777,69.5477
09/17/2025,69.7749,87432,69.91,69.985,69.7552
09/16/2025,69.8415,78814,69.82,69.86,69.79
09/15/2025,69.8126,106108,69.75,69.84,69.75
09/12/2025,69.7297,125524,69.72,69.735,69.6301
09/11/2025,69.8458,88736,69.77,69.90,69.77
09/10/2025,69.75,73905,69.71,69.7992,69.6713
09/09/2025,69.644,55959,69.69,69.72,69.58
09/08/2025,69.7246,113916,69.69,69.7372,69.665
09/05/2025,69.5732,95237,69.57,69.625,69.557
09/04/2025,69.305,112961,69.25,69.31,69.18
09/03/2025,69.10,71509,68.98,69.14,68.95
09/02/2025,68.8718,94130,68.90,68.91,68.835
08/29/2025,69.2876,56749,69.32,69.32,69.2643
08/28/2025,69.3516,74417,69.29,69.3678,69.2546
08/27/2025,69.275,74274,69.16,69.275,69.115
08/26/2025,69.2276,61157,69.18,69.25,69.135
08/25/2025,69.135,70609,69.13,69.175,69.08
08/22/2025,69.245,125782,69.10,69.30,69.08
08/21/2025,69.015,95768,69.08,69.08,68.965
08/20/2025,69.1658,94147,69.05,69.20,69.05
08/19/2025,69.095,91652,69.06,69.11,69.045
08/18/2025,68.99,105685,69.06,69.08,68.94
08/15/2025,68.995,74374,69.10,69.10,68.97
08/14/2025,69.175,90331,69.20,69.24,69.14
08/13/2025,69.36,158413,69.30,69.37,69.2701
08/12/2025,69.115,108599,69.08,69.12,69.005
08/11/2025,69.16,101925,69.18,69.21,69.135
08/08/2025,69.14,112207,69.21,69.21,69.13
08/07/2025,69.28,97430,69.26,69.355,69.24
08/06/2025,69.29,113842,69.28,69.31,69.10
08/05/2025,69.345,149832,69.29,69.37,69.24
08/04/2025,69.33,109438,69.29,69.33,69.215
08/01/2025,69.27,113943,69.12,69.27,69.12
07/31/2025,69.05,64401,69.17,69.17,69.015
07/30/2025,69.00,91360,69.02,69.095,68.9599
07/29/2025,69.13,144321,68.94,69.13,68.935
07/28/2025,68.91,205291,68.93,68.95,68.8825
07/25/2025,68.94,146381,68.82,68.94,68.785
07/24/2025,68.77,127996,68.73,68.8087,68.6707
07/23/2025,68.87,72015,68.99,68.99,68.84
07/22/2025,69.07,101098,69.00,69.10,69.00
07/21/2025,68.97,75800,69.00,69.045,68.95
07/18/2025,68.76,73669,68.75,68.7884,68.72
07/17/2025,68.72,89040,68.75,68.78,68.67
07/16/2025,68.72,88336,68.73,68.755,68.59
07/15/2025,68.58,65182,68.75,68.7998,68.55
07/14/2025,68.68,91160,68.66,68.73,68.60
07/11/2025,68.67,70766,68.75,68.75,68.65
07/10/2025,68.90,89827,68.91,68.91,68.81
07/09/2025,68.94,69474,68.81,68.94,68.79
07/08/2025,68.73,97527,68.74,68.74,68.66
07/07/2025,68.84,140217,68.92,68.92,68.79
07/03/2025,68.98,92095,69.01,69.025,68.935
07/02/2025,69.02,80943,68.98,69.02,68.935
07/01/2025,69.18,70362,69.23,69.235,69.095
06/30/2025,69.33,90090,69.30,69.36,69.22
06/27/2025,69.16,91075,69.16,69.29,69.135
06/26/2025,69.28,91189,69.16,69.28,69.14
06/25/2025,69.13,61431,69.07,69.14,69.005
06/24/2025,69.14,134242,69.01,69.165,68.951
06/23/2025,69.05,107948,69.00,69.15,68.995
06/20/2025,68.93,112875,68.88,68.985,68.82
06/18/2025,68.92,107115,68.94,69.03,68.845
06/17/2025,68.83,93861,68.78,68.8499,68.71
06/16/2025,68.67,124946,68.77,68.8454,68.66
06/13/2025,68.77,147054,68.89,68.89,68.665
06/12/2025,69.00,46725,68.99,69.00,68.915
06/11/2025,68.80,106965,68.75,68.82,68.70
06/10/2025,68.70,101947,68.70,68.75,68.625
06/09/2025,68.56,86936,68.50,68.595,68.45
06/06/2025,68.44,55022,68.55,68.55,68.425
06/05/2025,68.61,125372,68.77,68.78,68.60
06/04/2025,68.80,96503,68.68,68.83,68.635
06/03/2025,68.55,91839,68.59,68.675,68.51
06/02/2025,68.58,107718,68.58,68.6398,68.51
05/30/2025,68.85,49451,68.75,68.8765,68.74
05/29/2025,68.78,240739,68.70,68.82,68.69
05/28/2025,68.60,247750,68.62,68.62,68.529
05/27/2025,68.68,72372,68.52,68.68,68.52
05/23/2025,68.38,113085,68.46,68.46,68.30
05/22/2025,68.19,71301,68.05,68.19,67.96
05/21/2025,68.05,87804,68.13,68.255,68.005
05/20/2025,68.41,96050,68.36,68.44,68.28
05/19/2025,68.56,96171,68.32,68.56,68.23
05/16/2025,68.51,70471,68.63,68.64,68.475
05/15/2025,68.51,121075,68.30,68.51,68.27
05/14/2025,68.11,83720,68.30,68.30,68.1024
05/13/2025,68.29,95911,68.37,68.39,68.26
05/12/2025,68.35,133714,68.38,68.45,68.31
05/09/2025,68.62,44884,68.60,68.6967,68.60
05/08/2025,68.58,96843,68.92,68.92,68.5701
05/07/2025,68.93,93407,68.80,68.96,68.80
05/06/2025,68.76,81936,68.64,68.76,68.555
05/05/2025,68.67,118249,68.72,68.72,68.585
05/02/2025,68.71,99438,68.80,68.8499,68.649
05/01/2025,68.96,140518,69.22,69.22,68.86
04/30/2025,69.33,143783,69.27,69.37,69.21
04/29/2025,69.26,192887,69.12,69.27,69.1199
04/28/2025,69.17,198293,69.01,69.18,68.98
04/25/2025,69.07,257682,69.07,69.09,68.97
04/24/2025,68.97,287782,68.90,68.9999,68.8279
04/23/2025,68.64,486640,69.03,69.03,68.60
04/22/2025,68.63,295655,68.61,68.74,68.61
04/21/2025,68.50,171476,68.67,68.7099,68.47
04/17/2025,68.72,55382,68.82,68.82,68.67
04/16/2025,68.74,87208,68.66,68.7466,68.55
04/15/2025,68.54,49734,68.47,68.60,68.43
04/14/2025,68.48,62713,68.28,68.5191,68.28
04/11/2025,68.16,87319,68.12,68.188,67.8402
04/10/2025,68.23,51752,68.15,68.4952,68.15
04/09/2025,68.355,179654,68.18,68.39,67.94
04/08/2025,68.44,89748,68.39,68.735,68.38
04/07/2025,68.58,99642,69.085,69.15,68.50
04/04/2025,69.22,103188,69.37,69.508,69.11
04/03/2025,69.10,70297,69.22,69.23,69.02
04/02/2025,68.77,58670,68.99,68.99,68.6058
04/01/2025,68.81,95384,68.71,68.875,68.71
03/31/2025,68.81,148727,68.92,68.92,68.66
03/28/2025,68.74,35685,68.60,68.75,68.60
03/27/2025,68.42,44864,68.42,68.4278,68.355
03/26/2025,68.42,80991,68.41,68.46,68.35
03/25/2025,68.49,45429,68.46,68.53,68.418
03/24/2025,68.45,47576,68.59,68.59,68.44
03/21/2025,68.64,36891,68.70,68.75,68.62
03/20/2025,68.68,63038,68.85,68.91,68.655
03/19/2025,68.69,33629,68.52,68.70,68.45
03/18/2025,68.50,69069,68.43,68.52,68.3499
03/17/2025,68.46,51710,68.54,68.5654,68.42
03/14/2025,68.32,80980,68.34,68.38,68.30
03/13/2025,68.43,57646,68.22,68.43,68.17
03/12/2025,68.27,61265,68.31,68.33,68.24
03/11/2025,68.28,50454,68.50,68.565,68.255
03/10/2025,68.55,103930,68.50,68.63,68.49
03/07/2025,68.36,87417,68.69,68.69,68.3241
03/06/2025,68.41,79644,68.47,68.47,68.21
03/05/2025,68.52,55619,68.81,68.81,68.515
03/04/2025,68.85,77218,69.09,69.245,68.83
03/03/2025,69.23,64553,68.99,69.23,68.9399
02/28/2025,69.37,44341,69.23,69.37,69.18
02/27/2025,69.10,78227,69.06,69.14,69.01
02/26/2025,69.17,71903,69.03,69.1801,69.01
02/25/2025,69.01,65597,68.93,69.05,68.93
02/24/2025,68.71,56578,68.52,68.78,68.52
02/21/2025,68.73,47005,68.51,68.7486,68.50
02/20/2025,68.41,34800,68.43,68.435,68.3801
02/19/2025,68.37,64132,68.34,68.385,68.25
02/18/2025,68.35,137624,68.60,68.60,68.35
02/14/2025,68.60,35348,68.70,68.705,68.59
02/13/2025,68.54,44894,68.47,68.575,68.42
02/12/2025,68.19,49325,68.28,68.28,68.1101
02/11/2025,68.45,50685,68.57,68.57,68.42
02/10/2025,68.63,64640,68.73,68.73,68.604
02/07/2025,68.58,40960,68.63,68.63,68.4801
02/06/2025,68.73,77544,68.78,68.78,68.6536
02/05/2025,68.78,78856,68.76,68.8499,68.67
02/04/2025,68.53,56644,68.27,68.53,68.27
02/03/2025,68.41,79965,68.60,68.62,68.3404
