Date,Close/Last,Volume,Open,High,Low
12/19/2025,$13.47,61640570,$13.31,$13.475,$13.28
12/18/2025,$13.32,52604830,$13.38,$13.4656,$13.25
12/17/2025,$13.31,58320640,$13.63,$13.66,$13.29
12/16/2025,$13.67,69408880,$13.72,$13.99,$13.5701
12/15/2025,$13.65,53577260,$13.80,$13.81,$13.49
12/12/2025,$13.76,48337280,$13.67,$13.84,$13.67
12/11/2025,$13.63,59012300,$13.385,$13.68,$13.30
12/10/2025,$13.41,72210700,$13.08,$13.42,$13.07
12/09/2025,$13.08,33349990,$13.13,$13.2202,$13.06
12/08/2025,$13.14,45580830,$13.07,$13.16,$12.945
12/05/2025,$13.03,54099360,$13.15,$13.28,$13.00
12/04/2025,$13.14,47554800,$13.19,$13.24,$13.06
12/03/2025,$13.09,45364670,$12.99,$13.14,$12.96
12/02/2025,$12.96,57641700,$13.19,$13.19,$12.87
12/01/2025,$13.16,51593960,$13.195,$13.385,$13.13
11/28/2025,$13.28,29536180,$13.205,$13.34,$13.18
11/26/2025,$13.19,44942200,$13.17,$13.26,$13.12
11/25/2025,$13.17,52884970,$12.99,$13.26,$12.975
11/24/2025,$12.96,52936240,$12.84,$12.98,$12.825
11/21/2025,$12.83,74048860,$12.51,$12.94,$12.49
11/20/2025,$12.41,95861860,$12.91,$13.01,$12.38
11/19/2025,$12.90,49619260,$13.03,$13.15,$12.8649
11/18/2025,$13.02,70215400,$12.87,$13.09,$12.76
11/17/2025,$12.88,73404380,$13.1751,$13.1751,$12.78
11/14/2025,$13.19,67932420,$13.18,$13.31,$13.10
11/13/2025,$13.28,71481610,$13.40,$13.50,$13.25
11/12/2025,$13.45,61840460,$13.30,$13.50,$13.30
11/11/2025,$13.30,79742410,$13.19,$13.44,$13.19
11/10/2025,$13.16,62051160,$13.23,$13.235,$13.00
11/07/2025,$13.21,80011320,$12.96,$13.24,$12.95
11/06/2025,$13.12,82291050,$13.14,$13.26,$12.98
11/05/2025,$13.11,79134310,$12.92,$13.305,$12.88
11/04/2025,$12.79,70360610,$12.91,$12.93,$12.75
11/03/2025,$13.01,80419400,$13.10,$13.10,$12.90
10/31/2025,$13.13,68861990,$13.04,$13.17,$12.99
10/30/2025,$13.06,80766300,$13.14,$13.29,$13.06
10/29/2025,$13.24,127512200,$13.10,$13.39,$13.07
10/28/2025,$13.13,96738450,$13.24,$13.28,$13.04
10/27/2025,$13.26,140859000,$13.80,$13.80,$13.21
10/24/2025,$13.84,298366900,$12.73,$13.97,$12.71
10/23/2025,$12.34,479840300,$12.47,$12.49,$12.19
10/22/2025,$12.43,415062200,$12.53,$12.595,$12.28
10/21/2025,$12.56,297153200,$12.255,$12.63,$12.07
10/20/2025,$11.99,77878940,$11.93,$12.08,$11.91
10/17/2025,$11.92,107633500,$11.74,$12.01,$11.72
10/16/2025,$11.74,108701200,$11.74,$11.79,$11.64
10/15/2025,$11.76,88960730,$11.675,$11.78,$11.64
10/14/2025,$11.65,89117950,$11.38,$11.76,$11.34
10/13/2025,$11.54,73939380,$11.49,$11.63,$11.46
10/10/2025,$11.41,84595400,$11.55,$11.59,$11.35
10/09/2025,$11.50,70320480,$11.745,$11.77,$11.48
10/08/2025,$11.74,78469650,$11.98,$12.014,$11.68
10/07/2025,$11.92,154390200,$12.50,$12.53,$11.74
10/06/2025,$12.70,90544940,$12.63,$12.80,$12.48
10/03/2025,$12.67,100778600,$12.245,$12.67,$12.20
10/02/2025,$12.22,74530530,$12.28,$12.43,$12.12
10/01/2025,$12.27,73578430,$12.12,$12.28,$12.04
09/30/2025,$11.96,70765050,$12.11,$12.20,$11.91
09/29/2025,$12.09,83325010,$12.10,$12.12,$11.89
09/26/2025,$12.01,117681800,$11.65,$12.315,$11.65
09/25/2025,$11.62,67656340,$11.54,$11.65,$11.37
09/24/2025,$11.63,60193780,$11.73,$11.83,$11.59
09/23/2025,$11.73,55667550,$11.70,$11.93,$11.695
09/22/2025,$11.66,58432710,$11.60,$11.70,$11.565
09/19/2025,$11.62,71676340,$11.77,$11.80,$11.585
09/18/2025,$11.74,55040060,$11.69,$11.78,$11.62
09/17/2025,$11.66,68585950,$11.63,$11.88,$11.55
09/16/2025,$11.61,58064970,$11.685,$11.78,$11.51
09/15/2025,$11.68,47942430,$11.74,$11.755,$11.61
09/12/2025,$11.68,50100810,$11.754,$11.81,$11.66
09/11/2025,$11.76,64196120,$11.46,$11.79,$11.43
09/10/2025,$11.42,47021330,$11.49,$11.52,$11.31
09/09/2025,$11.49,41262740,$11.67,$11.68,$11.45
09/08/2025,$11.69,39734520,$11.75,$11.75,$11.58
09/05/2025,$11.74,47547830,$11.71,$11.91,$11.66
09/04/2025,$11.68,33136650,$11.65,$11.70,$11.57
09/03/2025,$11.62,47728660,$11.67,$11.725,$11.57
09/02/2025,$11.72,57704180,$11.755,$11.89,$11.64
08/29/2025,$11.77,44069730,$11.74,$11.83,$11.72
08/28/2025,$11.71,47723670,$11.985,$11.99,$11.63
08/27/2025,$11.91,40381480,$11.82,$11.98,$11.81
