Date,Close/Last,Volume,Open,High,Low
12/19/25,$82.35 ,23751050,$81.09 ,$82.69 ,$81.09 
12/18/25,$81.17 ,9086565,$80.50 ,$81.98 ,$80.39 
12/17/25,$80.51 ,8864282,$81.18 ,$81.49 ,$80.39 
12/16/25,$81.76 ,10732570,$82.07 ,$83.04 ,$81.18 
12/15/25,$81.98 ,14362220,$80.65 ,$82.02 ,$80.58 
12/12/25,$80.89 ,9649496,$80.86 ,$81.55 ,$80.64 
12/11/25,$80.85 ,9686821,$80.33 ,$81.22 ,$80.30 
12/10/25,$80.80 ,14421300,$77.16 ,$80.95 ,$77.10 
12/9/25,$77.16 ,7970114,$76.08 ,$77.35 ,$75.89 
12/8/25,$75.71 ,10018150,$76.32 ,$76.67 ,$75.20 
12/5/25,$76.05 ,8817795,$75.08 ,$77.00 ,$75.00 
12/4/25,$75.29 ,12659050,$75.00 ,$76.23 ,$74.90 
12/3/25,$74.69 ,8392357,$73.61 ,$74.92 ,$73.61 
12/2/25,$73.66 ,8973673,$73.15 ,$73.84 ,$72.09 
12/1/25,$72.95 ,9826854,$73.09 ,$73.93 ,$72.91 
11/28/25,$73.52 ,3754998,$72.94 ,$73.86 ,$72.91 
11/26/25,$72.81 ,7704267,$72.44 ,$73.45 ,$72.22 
11/25/25,$72.78 ,12089670,$71.15 ,$73.11 ,$71.15 
11/24/25,$71.00 ,13768140,$70.48 ,$71.22 ,$70.25 
11/21/25,$70.33 ,10852440,$68.29 ,$70.53 ,$68.19 
11/20/25,$68.04 ,9385199,$68.94 ,$69.89 ,$67.78 
11/19/25,$68.50 ,10557130,$68.00 ,$69.66 ,$67.61 
11/18/25,$67.93 ,6092657,$67.83 ,$68.42 ,$67.06 
11/17/25,$67.91 ,8032061,$70.31 ,$70.46 ,$67.49 
11/14/25,$70.52 ,7100875,$71.36 ,$71.77 ,$70.44 
11/13/25,$71.89 ,9004261,$72.16 ,$72.87 ,$71.48 
11/12/25,$71.84 ,9167247,$71.17 ,$72.39 ,$70.99 
11/11/25,$71.22 ,6164003,$71.12 ,$71.64 ,$70.99 
