Date,Close/Last,Volume,Open,High,Low
01/07/2026,$77.50,2475341,$77.20,$78.13,$76.24
01/06/2026,$77.03,7361897,$76.12,$77.53,$76.12
01/05/2026,$77.02,3699017,$75.07,$78.39,$74.85
01/02/2026,$75.53,2922361,$77.60,$78.18,$75.00
12/31/2025,$77.40,2248780,$78.85,$78.985,$77.35
12/30/2025,$79.31,2576533,$79.81,$80.09,$79.17
12/29/2025,$80.04,2361316,$80.21,$80.5009,$79.42
12/26/2025,$80.35,1612432,$80.31,$81.10,$79.61
12/24/2025,$81.19,980138,$80.76,$81.19,$80.00
12/23/2025,$80.19,2222227,$81.33,$81.99,$79.74
12/22/2025,$81.29,2569489,$80.63,$81.74,$79.9151
12/19/2025,$80.85,6702454,$82.14,$82.93,$80.18
12/18/2025,$82.12,3126349,$82.69,$83.29,$81.64
12/17/2025,$82.22,2064600,$81.46,$83.37,$81.46
12/16/2025,$81.44,2242799,$81.80,$82.43,$80.99
12/15/2025,$81.63,2867998,$82.20,$82.53,$81.11
12/12/2025,$82.05,2558972,$83.11,$83.42,$81.495
12/11/2025,$81.92,2608828,$79.90,$82.055,$79.765
12/10/2025,$80.34,1728350,$77.53,$80.58,$77.43
12/09/2025,$77.50,2524145,$77.99,$78.73,$77.22
12/08/2025,$77.91,2858679,$78.45,$78.57,$77.16
12/05/2025,$78.85,2180867,$79.23,$81.0725,$78.75
12/04/2025,$79.74,3017641,$80.32,$80.69,$79.19
12/03/2025,$79.96,2230791,$79.11,$80.78,$79.11
12/02/2025,$78.69,3831266,$76.78,$79.24,$75.70
12/01/2025,$76.24,2423104,$74.80,$77.53,$74.72
11/28/2025,$75.76,1144821,$75.24,$76.46,$75.005
11/26/2025,$74.97,2215758,$73.82,$75.38,$73.765
11/25/2025,$74.02,2017412,$73.19,$74.74,$73.0549
11/24/2025,$72.80,3175899,$72.89,$73.46,$72.27
11/21/2025,$73.49,2099414,$72.24,$74.66,$72.125
11/20/2025,$71.47,1690401,$73.15,$73.46,$71.38
11/19/2025,$72.03,1661449,$72.34,$72.56,$70.91
11/18/2025,$72.03,2053413,$72.41,$73.33,$71.77
11/17/2025,$72.58,1627678,$73.92,$74.25,$72.26
11/14/2025,$74.11,2218595,$75.11,$75.40,$73.27
11/13/2025,$75.44,1587456,$77.53,$78.08,$75.17
11/12/2025,$77.39,1612959,$77.09,$78.48,$77.09
11/11/2025,$77.23,1734096,$76.67,$77.795,$76.3262
11/10/2025,$75.69,2550567,$76.75,$77.055,$74.91
11/07/2025,$76.03,1958588,$75.89,$76.86,$74.88
11/06/2025,$76.37,3778445,$79.19,$79.99,$76.30
11/05/2025,$79.20,2808449,$80.52,$80.85,$78.19
11/04/2025,$79.96,4159888,$80.70,$80.99,$77.10
11/03/2025,$77.10,4338585,$77.29,$77.50,$74.71
10/31/2025,$77.76,2876775,$78.00,$79.06,$77.045
10/30/2025,$78.69,2065720,$79.35,$81.22,$78.62
10/29/2025,$79.21,4705535,$81.50,$82.54,$78.67
10/28/2025,$85.63,1472651,$86.79,$87.22,$85.59
10/27/2025,$86.79,1435156,$88.19,$88.77,$86.73
10/24/2025,$87.36,1286687,$88.69,$89.01,$87.34
10/23/2025,$87.48,1184660,$86.83,$88.20,$86.525
10/22/2025,$85.67,1787002,$86.50,$87.375,$85.62
10/21/2025,$87.66,1282459,$86.99,$88.215,$86.495
10/20/2025,$87.02,1262694,$85.84,$87.22,$85.515
10/17/2025,$85.42,2372269,$83.68,$85.60,$83.65
10/16/2025,$83.66,1856018,$86.00,$86.335,$83.65
10/15/2025,$86.10,1267123,$86.64,$87.29,$85.26
10/14/2025,$86.47,1993730,$83.18,$86.917,$83.0905
10/13/2025,$84.22,1218067,$83.67,$84.7466,$83.35
10/10/2025,$82.85,2601353,$87.12,$87.43,$82.81
10/09/2025,$87.18,1720880,$88.87,$89.58,$86.56
10/08/2025,$88.53,1363614,$88.74,$88.80,$87.23
10/07/2025,$88.10,1642194,$87.66,$88.69,$87.06
10/06/2025,$87.18,1453232,$88.91,$88.99,$86.48
10/03/2025,$87.96,1990821,$86.59,$88.56,$86.01
10/02/2025,$86.42,2059936,$84.83,$86.72,$84.75
10/01/2025,$85.12,1796197,$83.10,$85.52,$83.10
09/30/2025,$83.08,3422288,$86.04,$86.27,$81.98
09/29/2025,$86.34,3199178,$85.84,$86.875,$84.17
09/26/2025,$84.32,2205357,$84.91,$85.41,$84.03
09/25/2025,$84.90,2184737,$86.39,$87.09,$84.78
09/24/2025,$87.11,2123582,$86.29,$87.84,$86.23
09/23/2025,$86.11,3168689,$86.88,$88.33,$85.995
09/22/2025,$86.95,3095928,$85.96,$87.305,$85.61
09/19/2025,$86.55,4807416,$86.84,$87.17,$85.87
09/18/2025,$86.07,2013055,$85.88,$86.275,$84.845
09/17/2025,$85.35,1785429,$84.30,$86.92,$84.30
09/16/2025,$84.29,5512081,$83.70,$84.48,$82.53
09/15/2025,$84.16,1871860,$85.45,$85.88,$83.96
09/12/2025,$85.35,1344716,$86.38,$86.38,$85.045
09/11/2025,$86.68,1998211,$85.35,$87.07,$85.05
09/10/2025,$85.08,2213334,$86.25,$87.265,$84.821
09/09/2025,$86.91,2932875,$87.12,$87.83,$86.58
09/08/2025,$87.42,1782536,$87.21,$87.60,$85.9101
09/05/2025,$87.78,1398875,$87.39,$89.05,$86.465
09/04/2025,$87.28,2482052,$86.76,$87.4987,$85.65
09/03/2025,$86.76,2404364,$86.63,$87.625,$85.64
09/02/2025,$86.99,2478022,$87.92,$88.21,$86.18
08/29/2025,$88.82,1818545,$88.51,$89.22,$88.37
08/28/2025,$88.22,1416947,$88.13,$88.47,$87.25
08/27/2025,$87.84,1641401,$87.88,$89.195,$87.84
08/26/2025,$88.23,2078380,$88.55,$88.90,$87.81
08/25/2025,$88.82,1808262,$89.24,$89.655,$88.23
08/22/2025,$90.01,2329656,$86.33,$90.635,$85.82
08/21/2025,$85.72,1973188,$85.265,$86.03,$84.25
08/20/2025,$85.77,2186909,$86.34,$86.94,$85.61
08/19/2025,$86.62,2643963,$86.485,$88.09,$86.20
08/18/2025,$86.37,2051037,$86.43,$87.23,$86.075
08/15/2025,$86.79,2167875,$87.62,$89.03,$86.70
08/14/2025,$87.19,3255989,$84.99,$87.71,$84.43
08/13/2025,$86.46,2839785,$82.80,$86.53,$82.72
08/12/2025,$82.39,2695308,$81.77,$83.59,$81.09
08/11/2025,$80.83,3986919,$81.63,$82.74,$80.59
08/08/2025,$81.00,2585712,$82.15,$82.76,$80.805
08/07/2025,$82.02,3434414,$85.74,$86.07,$81.61
08/06/2025,$85.54,5181720,$87.695,$87.86,$81.52
08/05/2025,$78.41,4048334,$78.88,$79.23,$77.39
08/04/2025,$78.89,1983858,$78.54,$79.37,$78.16
08/01/2025,$78.04,2099783,$78.92,$79.21,$76.60
07/31/2025,$79.95,1762091,$81.10,$82.3658,$79.87
07/30/2025,$81.44,2187066,$83.50,$83.65,$81.06
07/29/2025,$83.23,1651673,$84.54,$84.92,$83.02
07/28/2025,$84.71,1602419,$85.36,$86.10,$84.3324
07/25/2025,$85.76,3422448,$85.26,$86.21,$83.31
07/24/2025,$83.05,1243605,$84.09,$84.12,$82.96
07/23/2025,$83.90,2488961,$84.01,$84.665,$83.10
07/22/2025,$84.11,2380159,$81.62,$84.255,$81.62
07/21/2025,$81.15,2022933,$82.10,$82.6038,$81.05
07/18/2025,$81.93,2303935,$82.89,$83.255,$81.335
07/17/2025,$83.04,2697766,$82.35,$83.825,$81.86
07/16/2025,$82.66,3997417,$82.25,$83.18,$79.71
07/15/2025,$77.61,2407516,$79.82,$79.83,$77.60
07/14/2025,$79.49,1527694,$79.85,$80.49,$79.00
07/11/2025,$78.80,2334707,$79.76,$80.48,$78.79
07/10/2025,$81.22,2894977,$80.11,$82.00,$79.84
