Date,Close/Last,Volume,Open,High,Low
12/24/2025,$5.13,14531630,$5.08,$5.15,$5.03
12/23/2025,$5.08,34138610,$5.17,$5.24,$5.07
12/22/2025,$5.18,32166490,$5.02,$5.28,$5.01
12/19/2025,$4.93,40602370,$4.97,$5.03,$4.91
12/18/2025,$4.92,28343240,$4.90,$4.97,$4.89
12/17/2025,$4.87,70858780,$4.97,$4.97,$4.85
12/16/2025,$4.95,39244860,$4.995,$5.05,$4.92
12/15/2025,$5.02,55131910,$5.15,$5.1595,$4.99
12/12/2025,$5.15,28823150,$5.19,$5.27,$5.11
12/11/2025,$5.18,32941230,$5.145,$5.19,$5.095
12/10/2025,$5.18,55972390,$5.10,$5.24,$5.05
12/09/2025,$5.15,50690590,$5.105,$5.215,$5.08
12/08/2025,$5.16,34257440,$5.19,$5.265,$5.11
12/05/2025,$5.19,42094720,$5.29,$5.35,$5.18
12/04/2025,$5.30,31185230,$5.21,$5.35,$5.195
12/03/2025,$5.27,34722220,$5.24,$5.30,$5.15
12/02/2025,$5.26,33420440,$5.255,$5.31,$5.22
12/01/2025,$5.27,30693120,$5.355,$5.37,$5.25
11/28/2025,$5.45,23586020,$5.41,$5.50,$5.36
11/26/2025,$5.32,36742890,$5.29,$5.36,$5.21
11/25/2025,$5.24,42646400,$5.27,$5.34,$5.19
11/24/2025,$5.25,89782020,$5.17,$5.37,$5.105
11/21/2025,$4.90,72818910,$5.01,$5.06,$4.82
11/20/2025,$4.98,83061260,$5.41,$5.41,$4.96
11/19/2025,$5.31,58833030,$5.30,$5.38,$5.25
11/18/2025,$5.32,58324360,$5.305,$5.365,$5.22
11/17/2025,$5.33,42280650,$5.385,$5.52,$5.27
11/14/2025,$5.41,40982180,$5.38,$5.53,$5.36
11/13/2025,$5.54,52359520,$5.71,$5.72,$5.48
11/12/2025,$5.79,47395930,$5.85,$6.0199,$5.78
11/11/2025,$5.88,63902320,$6.015,$6.235,$5.80
11/10/2025,$5.90,59920570,$5.775,$6.00,$5.73
11/07/2025,$5.56,85490310,$5.70,$5.79,$5.45
11/06/2025,$5.63,52901170,$5.70,$5.835,$5.545
11/05/2025,$5.64,83244800,$5.815,$5.8599,$5.62
11/04/2025,$5.785,112273800,$5.565,$5.8199,$5.36
11/03/2025,$6.07,79564700,$6.01,$6.115,$5.90
10/31/2025,$6.01,41950150,$5.97,$6.08,$5.95
10/30/2025,$5.98,39456840,$6.00,$6.08,$5.92
10/29/2025,$6.05,55308640,$5.94,$6.09,$5.85
10/28/2025,$5.94,48236570,$6.23,$6.24,$5.90
10/27/2025,$6.12,51338080,$6.00,$6.13,$5.91
10/24/2025,$5.85,50349230,$5.845,$5.915,$5.77
10/23/2025,$5.72,51345260,$5.67,$5.76,$5.58
10/22/2025,$5.62,48402600,$5.62,$5.62,$5.42
10/21/2025,$5.60,48870440,$5.68,$5.68,$5.54
10/20/2025,$5.67,30957460,$5.79,$5.8091,$5.65
10/17/2025,$5.64,41462610,$5.62,$5.675,$5.54
10/16/2025,$5.71,39900550,$5.95,$5.99,$5.64
10/15/2025,$5.92,37986810,$6.06,$6.14,$5.90
10/14/2025,$5.91,31275010,$5.79,$6.02,$5.70
10/13/2025,$5.93,27376500,$5.99,$6.07,$5.89
10/10/2025,$5.86,52095710,$6.12,$6.14,$5.84
10/09/2025,$6.17,39888480,$6.385,$6.40,$6.07
10/08/2025,$6.36,31303440,$6.33,$6.4387,$6.23
10/07/2025,$6.27,41965790,$6.55,$6.60,$6.24
