Date,Close/Last,Volume,Open,High,Low
12/29/2025,$106.62,8086890,$106.85,$107.59,$106.425
12/26/2025,$106.78,6280701,$106.45,$107.05,$106.0301
12/24/2025,$106.45,5335048,$105.365,$106.95,$105.28
12/23/2025,$105.04,13587460,$104.56,$105.3899,$104.325
12/22/2025,$104.72,17136250,$100.63,$104.95,$100.40
12/19/2025,$101.09,44980250,$100.60,$102.195,$100.11
12/18/2025,$100.69,14312770,$99.27,$101.37,$98.86
12/17/2025,$99.18,13180990,$98.18,$100.135,$98.06
12/16/2025,$98.27,16663610,$100.30,$100.34,$96.79
12/15/2025,$100.26,16735870,$99.99,$100.94,$98.00
12/12/2025,$100.30,11810790,$98.96,$100.66,$98.315
12/11/2025,$99.01,11808180,$98.44,$99.14,$97.578
12/10/2025,$97.62,18077710,$98.05,$98.17,$96.47
12/09/2025,$96.89,16283950,$99.32,$99.85,$96.055
12/08/2025,$98.93,12902590,$99.38,$99.67,$97.81
12/05/2025,$99.72,16430390,$101.40,$102.09,$99.19
12/04/2025,$100.89,12770710,$102.10,$102.60,$100.54
12/03/2025,$102.27,12541640,$101.895,$103.09,$101.52
12/02/2025,$101.03,11794980,$101.53,$101.80,$100.31
12/01/2025,$101.83,14178310,$104.72,$105.68,$101.71
11/28/2025,$104.83,6154508,$104.835,$105.405,$104.12
11/26/2025,$104.63,12624020,$104.595,$105.752,$104.20
11/25/2025,$105.66,22225530,$100.73,$105.84,$100.705
11/24/2025,$100.40,28320940,$99.12,$102.355,$99.12
11/21/2025,$97.76,23183280,$95.48,$100.27,$95.36
11/20/2025,$94.97,12554220,$94.97,$96.00,$93.90
11/19/2025,$95.05,14641310,$96.00,$97.14,$94.09
11/18/2025,$96.43,28153550,$94.11,$97.66,$92.11
11/17/2025,$92.86,14345820,$93.23,$94.75,$92.675
11/14/2025,$92.92,19632020,$92.20,$95.075,$91.4901
11/13/2025,$92.93,16086080,$91.31,$94.26,$90.90
11/12/2025,$91.45,13218930,$91.41,$92.91,$91.16
11/11/2025,$90.95,15436040,$87.35,$91.065,$87.26
11/10/2025,$86.75,8319573,$86.69,$87.37,$85.80
11/07/2025,$86.28,9214301,$85.95,$86.585,$85.24
11/06/2025,$85.78,10601450,$84.48,$86.17,$84.35
11/05/2025,$84.39,9440157,$84.03,$85.38,$82.9117
11/04/2025,$83.86,12846090,$82.70,$84.96,$82.01
11/03/2025,$82.49,13875810,$85.765,$86.10,$82.34
10/31/2025,$85.98,12384990,$85.415,$86.46,$84.56
10/30/2025,$86.28,16678840,$84.62,$87.30,$83.30
10/29/2025,$86.58,10921910,$86.945,$87.84,$86.0715
10/28/2025,$87.03,8345943,$88.105,$88.105,$86.93
10/27/2025,$88.00,7226555,$87.51,$88.295,$87.0301
10/24/2025,$87.49,7902072,$87.33,$88.06,$87.1083
10/23/2025,$87.18,7687450,$87.56,$88.105,$86.91
10/22/2025,$87.61,10926340,$87.68,$88.7898,$87.0139
10/21/2025,$87.62,9852403,$86.96,$87.67,$86.23
10/20/2025,$86.32,8611782,$85.245,$87.00,$85.03
10/17/2025,$84.79,10758920,$83.275,$84.89,$83.1632
10/16/2025,$83.92,11709060,$84.41,$85.50,$83.60
10/15/2025,$84.11,9168705,$84.19,$84.69,$83.61
10/14/2025,$84.70,9675036,$85.38,$85.68,$84.15
10/13/2025,$85.70,6553942,$85.655,$86.46,$85.24
10/10/2025,$85.99,11230690,$87.935,$88.24,$85.92
10/09/2025,$87.50,10938200,$86.96,$87.80,$86.64
10/08/2025,$86.40,9696200,$87.93,$87.93,$86.20
10/07/2025,$87.61,9449085,$88.67,$88.94,$87.14
10/06/2025,$88.80,11648300,$88.83,$90.31,$88.55
10/03/2025,$89.19,12970580,$89.625,$90.70,$88.10
10/02/2025,$89.51,14575380,$89.95,$91.00,$88.22
10/01/2025,$90.13,33460880,$85.19,$90.75,$85.19
09/30/2025,$83.93,21636630,$78.415,$84.00,$78.395
09/29/2025,$78.58,12739030,$78.60,$78.80,$78.03
09/26/2025,$78.56,12205420,$78.76,$78.96,$77.6944
09/25/2025,$77.60,14923790,$79.78,$79.88,$77.58
09/24/2025,$79.67,11804180,$79.90,$80.115,$79.33
09/23/2025,$79.96,13145290,$80.09,$81.1091,$79.665
09/22/2025,$80.40,11986450,$81.76,$81.94,$80.26
09/19/2025,$81.51,25627810,$81.805,$82.40,$81.00
