Date,Close/Last,Volume,Open,High,Low
12/29/2025,$139.20,777557,$138.86,$139.45,$138.84
12/26/2025,$139.18,587168,$138.88,$139.22,$138.39
12/24/2025,$138.88,646982,$139.06,$139.48,$138.53
12/23/2025,$139.13,1945618,$139.60,$140.175,$138.78
12/22/2025,$136.87,1388693,$136.48,$137.27,$136.00
12/19/2025,$136.06,1392569,$134.94,$137.16,$134.82
12/18/2025,$135.27,1544509,$135.19,$135.69,$134.88
12/17/2025,$135.03,2458304,$135.34,$137.40,$134.96
12/16/2025,$135.03,1721430,$136.66,$136.66,$134.40
12/15/2025,$135.19,1635681,$133.90,$135.27,$133.67
12/12/2025,$132.57,1226073,$132.37,$133.01,$131.77
12/11/2025,$132.36,2062573,$132.46,$133.84,$132.20
12/10/2025,$131.19,2068214,$131.05,$131.63,$130.46
12/09/2025,$131.01,2127869,$132.55,$133.16,$130.81
12/08/2025,$130.17,2245497,$132.83,$132.85,$129.98
12/05/2025,$132.16,1997207,$133.82,$134.04,$132.09
12/04/2025,$132.43,1266401,$133.63,$133.95,$132.18
12/03/2025,$133.72,1259783,$133.62,$134.24,$133.43
12/02/2025,$132.28,1943615,$131.55,$132.674,$130.73
12/01/2025,$128.97,1603404,$131.02,$131.15,$128.91
11/28/2025,$130.40,1514183,$130.21,$130.51,$129.43
11/26/2025,$130.44,1312012,$130.16,$131.19,$129.85
11/25/2025,$130.26,2017811,$128.75,$130.47,$128.75
11/24/2025,$126.54,1712284,$127.435,$128.14,$126.50
11/21/2025,$127.31,2200346,$125.88,$127.89,$125.88
11/20/2025,$124.36,2417187,$125.63,$125.63,$123.24
11/19/2025,$127.31,1716185,$128.21,$128.40,$126.31
11/18/2025,$128.01,2003165,$127.83,$128.70,$126.94
11/17/2025,$131.55,1743994,$132.39,$133.19,$131.46
11/14/2025,$131.26,1822809,$132.46,$132.76,$130.30
11/13/2025,$131.91,1603682,$131.88,$134.00,$131.805
11/12/2025,$132.29,1290571,$130.92,$132.30,$130.80
11/11/2025,$130.50,1594547,$128.81,$130.69,$128.72
11/10/2025,$127.20,1224653,$126.69,$127.28,$126.29
11/07/2025,$126.35,1417688,$126.47,$126.96,$126.0001
11/06/2025,$126.57,1119515,$126.27,$127.11,$126.065
11/05/2025,$125.50,1260159,$124.53,$125.92,$124.47
11/04/2025,$125.01,1509998,$123.51,$125.46,$123.51
11/03/2025,$123.86,1657148,$123.075,$124.05,$122.86
