Date,Close/Last,Volume,Open,High,Low
12/29/2025,$51.80,2163447,$52.04,$52.23,$51.78
12/26/2025,$52.50,412191,$52.54,$52.94,$52.21
12/24/2025,$52.53,655037,$53.00,$53.00,$52.42
12/23/2025,$52.585,2854048,$52.27,$52.59,$52.17
12/22/2025,$51.39,3604983,$50.86,$51.67,$50.80
12/19/2025,$51.20,1649205,$50.86,$51.49,$50.84
12/18/2025,$50.27,4197258,$49.98,$50.46,$49.89
12/17/2025,$49.60,3290732,$49.86,$50.45,$49.51
12/16/2025,$50.23,3707161,$50.81,$50.87,$50.15
12/15/2025,$51.22,4104742,$50.25,$51.24,$50.25
12/12/2025,$50.04,2517677,$49.67,$50.10,$49.60
12/11/2025,$50.02,3816632,$50.02,$50.30,$49.43
12/10/2025,$50.43,5375804,$49.76,$50.67,$49.55
12/09/2025,$48.70,3373516,$49.18,$49.35,$48.62
12/08/2025,$48.90,2013262,$49.14,$49.34,$48.79
12/05/2025,$48.52,1951572,$48.74,$48.82,$48.14
12/04/2025,$48.20,1522668,$49.02,$49.03,$48.125
12/03/2025,$48.92,1403761,$48.87,$49.16,$48.78
12/02/2025,$48.70,1069097,$48.54,$48.87,$48.39
12/01/2025,$47.51,1694202,$48.15,$48.2425,$47.49
11/28/2025,$47.83,2720680,$47.72,$47.90,$47.50
11/26/2025,$48.47,1549594,$48.42,$48.67,$48.1495
11/25/2025,$48.63,1601417,$48.21,$48.74,$48.15
11/24/2025,$47.59,2782565,$48.46,$48.5125,$47.55
11/21/2025,$49.01,1303322,$48.51,$49.09,$48.49
11/20/2025,$47.92,2490338,$48.42,$48.44,$47.90
11/19/2025,$48.54,3496237,$48.37,$48.78,$48.10
11/18/2025,$48.87,11266350,$48.30,$49.20,$47.73
11/17/2025,$44.58,1747184,$44.899,$45.25,$44.57
11/14/2025,$44.95,2013077,$45.26,$45.37,$44.91
11/13/2025,$45.52,1861171,$45.51,$46.00,$45.49
11/12/2025,$45.43,1055849,$45.28,$45.67,$45.27
11/11/2025,$45.43,3280264,$44.40,$45.50,$44.40
11/10/2025,$43.85,2350469,$43.30,$43.94,$43.11
11/07/2025,$41.96,1613791,$41.49,$41.99,$41.43
11/06/2025,$41.22,1492946,$40.85,$41.22,$40.73
11/05/2025,$40.70,1165279,$40.57,$40.94,$40.52
11/04/2025,$40.50,1486893,$40.26,$40.82,$40.25
11/03/2025,$40.15,1188628,$40.45,$40.54,$40.07
10/31/2025,$40.40,1064711,$40.42,$40.53,$40.10
10/30/2025,$40.61,1146607,$40.68,$40.84,$40.54
10/29/2025,$40.56,791620,$41.05,$41.07,$40.32
10/28/2025,$40.85,1330828,$41.554,$41.555,$40.85
10/27/2025,$42.09,1458393,$41.45,$42.09,$41.43
10/24/2025,$42.27,2209198,$42.82,$42.85,$42.25
10/23/2025,$42.47,3577465,$42.23,$42.77,$42.21
10/22/2025,$43.94,1469724,$43.84,$44.21,$43.81
10/21/2025,$44.02,1073273,$44.02,$44.25,$43.83
10/20/2025,$44.06,3356228,$44.15,$44.48,$43.89
10/17/2025,$44.91,1510812,$44.55,$45.21,$44.50
10/16/2025,$44.67,733198,$44.56,$45.00,$44.55
10/15/2025,$44.48,1131662,$43.86,$44.68,$43.77
10/14/2025,$44.76,1561656,$44.93,$45.07,$44.50
10/13/2025,$45.28,1594055,$44.96,$45.33,$44.80
10/10/2025,$45.66,1830555,$45.609,$45.67,$45.30
10/09/2025,$45.54,1351421,$45.77,$45.865,$45.39
10/08/2025,$45.32,5231423,$45.90,$45.94,$45.21
10/07/2025,$45.15,1732261,$45.26,$45.45,$45.13
10/06/2025,$45.36,1191661,$45.27,$45.46,$45.21
10/03/2025,$45.30,1475320,$45.05,$45.46,$45.01
10/02/2025,$44.70,1249868,$44.85,$45.00,$44.41
10/01/2025,$44.83,2653852,$43.71,$45.08,$43.70
09/30/2025,$41.81,1988584,$40.12,$41.96,$40.05
09/29/2025,$40.05,1280324,$39.93,$40.19,$39.78
09/26/2025,$39.59,1497167,$39.86,$40.01,$39.50
09/25/2025,$39.96,1800773,$40.46,$40.56,$39.76
09/24/2025,$41.06,1428164,$41.04,$41.28,$40.81
09/23/2025,$41.75,841389,$41.98,$42.073,$41.705
09/22/2025,$42.66,1228980,$42.65,$42.82,$42.18
09/19/2025,$41.79,1303548,$41.71,$41.88,$41.62
09/18/2025,$41.19,808372,$41.13,$41.30,$41.00
09/17/2025,$41.17,614306,$40.96,$41.62,$40.96
09/16/2025,$41.15,540065,$41.09,$41.19,$40.91
09/15/2025,$40.98,1422395,$41.18,$41.23,$40.86
09/12/2025,$41.35,1073280,$41.65,$41.79,$41.33
09/11/2025,$42.07,1071240,$41.76,$42.22,$41.73
09/10/2025,$41.85,2084311,$41.995,$42.01,$41.605
09/09/2025,$42.48,1214308,$42.37,$42.54,$42.31
09/08/2025,$42.47,1363939,$42.49,$42.76,$42.21
09/05/2025,$43.00,565016,$42.91,$43.08,$42.80
09/04/2025,$42.74,801798,$42.50,$42.82,$42.44
09/03/2025,$42.04,2664399,$41.34,$42.08,$41.31
09/02/2025,$41.02,943473,$40.82,$41.07,$40.71
