Date,Close/Last,Volume,Open,High,Low
12/26/2025,$20.90,20503040,$21.22,$21.55,$20.77
12/24/2025,$21.13,10629610,$21.11,$21.485,$20.83
12/23/2025,$21.18,38763720,$21.69,$21.70,$20.69
12/22/2025,$21.75,38448530,$22.47,$22.69,$21.625
12/19/2025,$22.45,106165100,$20.31,$22.64,$20.31
12/18/2025,$20.28,67245360,$18.26,$20.33,$18.26
12/17/2025,$17.63,32172730,$18.10,$18.4099,$17.60
12/16/2025,$17.90,46207200,$18.63,$18.97,$17.64
12/15/2025,$18.70,64341010,$18.61,$19.58,$18.37
12/12/2025,$18.42,103734200,$16.82,$19.60,$16.73
12/11/2025,$16.43,97129750,$17.415,$17.415,$15.73
12/10/2025,$17.50,48017200,$17.63,$18.41,$17.455
12/09/2025,$17.71,21450730,$17.47,$17.795,$17.3701
12/08/2025,$17.61,41828700,$17.565,$17.71,$17.04
12/05/2025,$17.95,40574560,$18.08,$18.60,$17.91
12/04/2025,$18.06,39172100,$17.61,$18.17,$17.37
12/03/2025,$17.53,31993640,$17.20,$17.90,$16.90
12/02/2025,$17.23,34438890,$17.23,$17.67,$17.04
12/01/2025,$17.16,43380960,$16.55,$17.79,$16.512
11/28/2025,$16.86,18542970,$16.39,$17.055,$16.26
11/26/2025,$16.18,35451240,$15.61,$16.48,$15.5067
11/25/2025,$15.56,30087730,$15.115,$15.665,$14.895
11/24/2025,$15.17,42345110,$15.03,$15.25,$14.68
11/21/2025,$14.86,40498560,$14.735,$15.12,$13.95
11/20/2025,$14.66,45539370,$14.935,$15.63,$14.59
11/19/2025,$14.72,51911050,$14.83,$14.93,$14.33
11/18/2025,$14.99,40761540,$14.68,$15.33,$14.40
11/17/2025,$14.87,58303190,$15.01,$15.24,$14.53
11/14/2025,$15.11,60069180,$15.70,$15.87,$15.07
11/13/2025,$16.39,58775060,$17.24,$17.71,$16.2101
11/12/2025,$17.52,72372110,$17.555,$17.71,$16.40
11/11/2025,$18.02,109217400,$16.38,$18.13,$16.20
11/10/2025,$16.41,104369900,$15.54,$16.75,$15.01
11/07/2025,$15.23,65782100,$15.06,$15.375,$14.25
11/06/2025,$15.22,88735330,$15.26,$15.61,$14.48
11/05/2025,$15.42,197650600,$13.335,$15.85,$13.26
11/04/2025,$12.50,55207840,$12.96,$12.98,$12.39
11/03/2025,$13.19,38765460,$13.55,$13.59,$13.155
10/31/2025,$13.57,44821430,$13.08,$13.59,$12.895
10/30/2025,$12.99,39850380,$13.55,$13.58,$12.99
10/29/2025,$13.71,34922240,$13.50,$13.88,$13.45
10/28/2025,$13.50,41866270,$13.41,$13.63,$13.21
10/27/2025,$13.41,48280810,$13.17,$13.665,$12.97
10/24/2025,$12.98,28316100,$13.215,$13.27,$12.935
10/23/2025,$13.09,26000490,$12.77,$13.19,$12.71
10/22/2025,$12.92,41848610,$13.09,$13.25,$12.72
10/21/2025,$13.20,27959920,$13.07,$13.56,$12.90
10/20/2025,$13.08,35626610,$12.80,$13.15,$12.66
10/17/2025,$13.03,24003760,$12.90,$13.215,$12.87
10/16/2025,$12.91,28327490,$13.42,$13.42,$12.81
10/15/2025,$13.41,36082910,$13.25,$13.6377,$13.185
10/14/2025,$13.12,25298060,$12.86,$13.27,$12.61
10/13/2025,$13.06,21988840,$12.99,$13.12,$12.80
10/10/2025,$12.80,25834720,$13.12,$13.20,$12.67
10/09/2025,$13.09,27776370,$13.08,$13.17,$12.86
10/08/2025,$13.13,26798630,$13.28,$13.4001,$13.05
10/07/2025,$13.26,31710990,$13.53,$13.72,$13.23
10/06/2025,$13.50,29514120,$13.73,$13.90,$13.46
10/03/2025,$13.65,45879650,$13.525,$13.7299,$13.22
10/02/2025,$13.53,75952420,$14.13,$14.15,$13.21
10/01/2025,$14.61,27345900,$14.785,$15.06,$14.59
09/30/2025,$14.68,48572380,$15.25,$15.51,$14.55
09/29/2025,$15.25,46005200,$15.75,$15.79,$15.00
09/26/2025,$15.59,36800670,$15.81,$16.17,$15.57
09/25/2025,$15.74,44793640,$15.50,$16.05,$15.14
09/24/2025,$15.79,50644530,$15.51,$15.95,$15.0638
09/23/2025,$15.53,53832610,$15.245,$15.70,$14.99
09/22/2025,$15.24,74244720,$14.305,$15.43,$14.11
09/19/2025,$14.38,68671940,$14.72,$14.77,$14.02
09/18/2025,$14.68,48669520,$14.29,$14.94,$14.0737
09/17/2025,$14.11,47865900,$14.385,$14.63,$13.96
09/16/2025,$14.32,62422900,$13.77,$14.65,$13.73
09/15/2025,$13.60,30818500,$13.63,$13.77,$13.38
09/12/2025,$13.46,67199610,$14.00,$14.04,$12.57
09/11/2025,$13.97,40471660,$13.97,$14.63,$13.95
09/10/2025,$13.91,32445360,$13.94,$14.27,$13.7301
09/09/2025,$13.94,30599720,$14.00,$14.20,$13.685
09/08/2025,$13.99,54560680,$14.235,$14.325,$13.82
09/05/2025,$14.21,87135060,$13.74,$14.57,$13.66
09/04/2025,$13.70,82734020,$14.36,$14.37,$13.38
09/03/2025,$14.44,77654660,$13.90,$15.03,$13.85
09/02/2025,$13.87,51257820,$13.30,$13.95,$12.98
08/29/2025,$13.57,39634060,$13.65,$13.885,$13.31
08/28/2025,$13.64,31625790,$13.34,$13.66,$13.09
08/27/2025,$13.22,38969760,$13.25,$13.50,$13.135
08/26/2025,$13.21,53099500,$13.11,$13.26,$12.84
08/25/2025,$13.11,46841290,$13.05,$13.49,$12.91
08/22/2025,$13.09,64603120,$12.17,$13.11,$12.16
08/21/2025,$12.12,42736990,$12.04,$12.15,$11.84
08/20/2025,$12.07,45077380,$12.175,$12.325,$11.88
08/19/2025,$12.25,48702000,$12.45,$12.50,$12.07
08/18/2025,$12.41,38394350,$12.28,$12.48,$12.07
08/15/2025,$12.24,51961790,$12.03,$12.45,$12.0101
08/14/2025,$12.06,38053210,$12.065,$12.21,$11.79
08/13/2025,$12.28,25094790,$12.00,$12.345,$11.905
08/12/2025,$11.97,33627290,$12.08,$12.1049,$11.58
08/11/2025,$11.93,40349760,$11.88,$12.33,$11.83
08/08/2025,$11.79,31601230,$12.08,$12.285,$11.78
08/07/2025,$12.07,33230070,$11.77,$12.19,$11.715
08/06/2025,$11.64,67072690,$11.675,$12.26,$11.57
08/05/2025,$12.15,67997440,$12.48,$12.52,$12.0622
08/04/2025,$12.41,45497120,$12.56,$12.84,$12.35
08/01/2025,$12.38,42548420,$12.65,$12.70,$12.31
07/31/2025,$12.87,37911550,$12.995,$13.13,$12.80
07/30/2025,$13.03,37652060,$13.11,$13.18,$12.85
07/29/2025,$13.06,38882180,$13.77,$13.83,$13.055
07/28/2025,$13.78,22639660,$14.045,$14.07,$13.7099
07/25/2025,$14.01,51134470,$13.89,$14.47,$13.8012
07/24/2025,$13.82,39294620,$13.785,$13.89,$13.41
07/23/2025,$14.02,38372150,$14.21,$14.24,$13.77
07/22/2025,$14.12,45193450,$13.65,$14.51,$13.62
07/21/2025,$13.70,35626950,$13.915,$14.15,$13.62
07/18/2025,$13.70,48648430,$13.03,$13.86,$12.80
07/17/2025,$12.90,52110670,$12.74,$13.49,$12.69
07/16/2025,$12.39,41606490,$12.70,$12.70,$11.96
07/15/2025,$12.63,27878290,$12.80,$13.03,$12.62
07/14/2025,$12.75,28208290,$12.851,$12.88,$12.55
07/11/2025,$13.03,21163690,$13.18,$13.44,$13.00
07/10/2025,$13.32,20665210,$13.215,$13.495,$13.195
07/09/2025,$13.20,16207060,$13.19,$13.32,$13.06
07/08/2025,$13.13,28302910,$12.79,$13.37,$12.78
07/07/2025,$12.75,34462330,$12.88,$12.92,$12.4441
07/03/2025,$13.07,21513390,$12.97,$13.455,$12.89
07/02/2025,$12.87,42320420,$13.30,$13.33,$12.83
07/01/2025,$13.47,30282080,$13.545,$13.55,$12.97
06/30/2025,$13.74,18768700,$13.60,$13.825,$13.56
06/27/2025,$13.60,27501860,$13.945,$13.951,$13.38
06/26/2025,$13.91,17763150,$13.79,$14.14,$13.66
06/25/2025,$13.76,14584910,$13.885,$13.91,$13.5315
06/24/2025,$13.81,17736470,$13.835,$13.98,$13.69
06/23/2025,$13.65,22203960,$13.53,$13.93,$13.43
06/20/2025,$13.57,28260150,$13.93,$14.03,$13.385
06/18/2025,$13.77,15930890,$13.44,$13.91,$13.36
06/17/2025,$13.39,21409590,$13.475,$13.69,$13.26
06/16/2025,$13.76,26498630,$13.63,$14.14,$13.45
06/13/2025,$13.42,26990360,$13.575,$13.7399,$13.35
06/12/2025,$13.91,14829230,$13.98,$14.13,$13.88
06/11/2025,$14.20,20827220,$14.605,$14.80,$14.065
06/10/2025,$14.40,19586320,$14.59,$14.735,$14.27
06/09/2025,$14.40,27172720,$14.15,$14.55,$13.995
06/06/2025,$14.00,24451450,$13.915,$14.135,$13.69
06/05/2025,$13.78,34968630,$14.025,$14.27,$13.6134
06/04/2025,$14.01,26241100,$14.37,$14.53,$13.87
06/03/2025,$14.37,22945640,$14.19,$14.68,$14.19
06/02/2025,$14.10,27357360,$14.40,$14.50,$13.845
05/30/2025,$14.53,40113270,$14.965,$14.98,$14.41
05/29/2025,$15.005,25216540,$15.67,$15.69,$14.96
05/28/2025,$15.48,23048140,$15.40,$15.80,$15.325
05/27/2025,$15.37,36961450,$15.94,$15.9799,$14.87
05/23/2025,$15.63,21794950,$15.61,$15.87,$15.40
05/22/2025,$15.91,28115780,$16.19,$16.35,$15.73
05/21/2025,$16.34,46878390,$16.71,$17.08,$16.025
05/20/2025,$16.92,63759100,$16.31,$17.15,$16.22
05/19/2025,$16.29,43922010,$15.44,$16.43,$15.245
