Date,Close/Last,Volume,Open,High,Low
12/22/2025,69.93,145625,69.74,70.31,69.7301
12/19/2025,69.26,79623,68.51,69.26,68.51
12/18/2025,68.37,37890,68.73,68.83,68.1481
12/17/2025,67.91,94289,69.36,69.36,67.73
12/16/2025,69.29,64453,69.30,69.73,68.9152
12/15/2025,70.03,76636,70.91,70.91,69.96
12/12/2025,70.45,124279,71.98,71.98,70.229
12/11/2025,71.88,118251,71.45,71.94,70.99
12/10/2025,71.59,90793,71.10,71.80,70.60
12/09/2025,70.90,212477,70.82,71.24,70.59
12/08/2025,70.91,163202,71.29,71.29,70.43
12/05/2025,70.97,171104,70.87,71.20,70.595
12/04/2025,70.35,221922,70.03,70.435,69.815
12/03/2025,69.03,93808,68.35,69.13,68.13
12/02/2025,67.85,63104,68.14,68.3294,67.73
12/01/2025,67.94,68407,68.02,68.40,67.83
11/28/2025,68.33,50655,67.84,68.39,67.7676
11/26/2025,67.32,70955,66.79,67.58,66.69
11/25/2025,66.52,59429,65.67,66.6378,65.25
11/24/2025,65.34,58918,64.41,65.39,64.41
11/21/2025,64.07,111064,63.15,64.41,62.7958
11/20/2025,63.04,122603,65.48,65.69,62.8038
11/19/2025,64.36,77590,64.30,64.84,63.91
11/18/2025,64.24,134469,64.48,64.72,63.771
11/17/2025,65.40,177091,66.31,66.505,65.0001
11/14/2025,66.71,202415,66.07,67.39,65.83
11/13/2025,67.12,118129,68.85,68.85,66.8533
11/12/2025,69.10,62604,69.05,69.404,68.874
11/11/2025,68.79,88073,68.87,68.8899,68.3356
11/10/2025,69.13,435606,69.02,69.26,68.34
11/07/2025,68.06,211514,67.48,68.06,66.54
11/06/2025,68.22,117495,69.50,69.50,67.88
11/05/2025,68.99,350866,68.54,69.309,68.25
11/04/2025,68.21,74351,68.72,68.94,68.09
11/03/2025,69.73,89719,69.95,69.9903,69.05
10/31/2025,69.62,89706,69.22,69.70,69.0801
10/30/2025,68.92,55793,69.25,69.51,68.86
10/29/2025,69.85,86166,70.18,70.31,69.3441
10/28/2025,69.67,102310,70.32,70.32,69.44
10/27/2025,70.26,117685,70.14,70.29,69.906
10/24/2025,69.46,83588,69.51,69.78,69.41
10/23/2025,68.96,49534,68.02,69.00,68.02
10/22/2025,67.93,78348,68.84,68.84,67.4601
10/21/2025,68.70,75213,68.61,69.04,68.175
10/20/2025,68.71,92009,68.12,68.77,68.1101
10/17/2025,66.92,54455,66.80,67.31,66.4798
10/16/2025,67.42,59039,68.22,68.22,67.15
10/15/2025,67.61,57555,67.52,68.00,66.8103
10/14/2025,66.65,96561,66.18,67.09,65.38
10/13/2025,67.11,94144,67.08,67.34,66.32
10/10/2025,65.31,132477,68.30,68.44,65.1701
10/09/2025,68.61,80333,69.13,69.14,68.21
10/08/2025,68.50,60105,68.52,68.59,67.925
10/07/2025,67.80,117396,68.78,69.02,67.6802
10/06/2025,69.00,271624,68.60,69.07,68.46
10/03/2025,67.82,148675,67.73,68.0899,67.53
10/02/2025,67.28,38142,67.14,67.3233,66.6498
10/01/2025,66.33,43080,65.69,66.4899,65.69
09/30/2025,65.56,38739,65.39,65.61,65.1709
09/29/2025,65.27,56603,65.45,65.58,65.14
09/26/2025,65.27,72583,65.40,65.40,64.7962
09/25/2025,65.43,148628,65.47,65.47,64.6501
09/24/2025,66.00,58502,66.52,66.88,65.91
09/23/2025,67.02,69362,67.37,67.56,66.72
09/22/2025,67.23,98165,66.75,67.28,66.4618
09/19/2025,66.40,55593,66.21,66.47,65.8574
09/18/2025,66.34,72581,66.00,66.44,65.721
09/17/2025,65.06,58730,65.22,65.67,64.37
09/16/2025,65.50,43076,65.49,65.50,65.01
09/15/2025,65.29,50624,65.20,65.4825,64.8516
09/12/2025,64.85,44680,65.17,65.40,64.75
09/11/2025,65.36,100092,64.47,65.4599,64.47
09/10/2025,64.19,53681,64.44,64.68,64.113
09/09/2025,64.30,39857,64.82,64.82,64.12
09/08/2025,64.71,60118,64.54,64.8976,64.47
09/05/2025,63.97,37289,63.78,64.45,63.48
09/04/2025,63.18,46674,62.45,63.18,62.244
09/03/2025,62.58,26539,62.62,62.8666,62.3571
09/02/2025,62.54,81206,62.64,62.65,61.95
08/29/2025,63.7488,54342,64.43,64.43,63.50
08/28/2025,64.5713,37772,64.28,64.7481,64.2023
08/27/2025,64.2886,23492,63.77,64.31,63.6623
08/26/2025,63.96,23267,63.88,64.2399,63.71
08/25/2025,63.62,46232,63.82,64.069,63.62
08/22/2025,64.10,51194,62.41,64.2943,62.41
08/21/2025,62.34,31209,62.41,62.5377,62.10
08/20/2025,62.35,72972,62.56,62.9099,61.93
08/19/2025,63.16,48790,63.55,63.90,63.11
08/18/2025,63.84,49171,63.76,63.8583,63.38
08/15/2025,63.55,52965,64.21,64.21,63.50
08/14/2025,63.83,40204,64.02,64.02,63.2801
08/13/2025,64.23,58117,64.00,64.27,63.7655
08/12/2025,63.94,53532,62.79,63.9795,62.79
08/11/2025,62.60,60158,63.24,63.24,62.5035
08/08/2025,63.12,50974,63.00,63.3299,63.00
08/07/2025,62.79,39139,63.29,63.39,62.20
08/06/2025,62.92,48954,62.85,62.97,62.335
08/05/2025,63.00,48555,63.31,63.6099,62.71
08/04/2025,63.04,63675,62.25,63.0999,62.25
08/01/2025,61.80,62516,62.00,62.00,60.96
07/31/2025,62.33,59967,62.76,63.3499,62.33
07/30/2025,62.58,93893,63.00,63.13,62.20
07/29/2025,63.04,226183,63.29,63.67,62.6501
07/28/2025,63.13,223061,63.55,63.6433,63.00
07/25/2025,63.44,48790,63.17,63.5192,62.77
07/24/2025,63.21,115609,63.68,63.68,63.21
07/23/2025,63.63,189701,62.63,63.63,62.63
07/22/2025,61.40,206687,61.00,61.55,60.7239
07/21/2025,61.34,56315,61.75,61.97,61.21
07/18/2025,61.39,39325,61.84,61.93,61.2782
07/17/2025,61.59,52209,60.86,61.79,60.86
07/16/2025,60.72,33541,60.26,60.8071,59.90
07/15/2025,60.15,57790,60.98,60.98,60.15
07/14/2025,60.20,40992,60.19,60.3429,59.82
07/11/2025,60.54,82708,60.72,60.7699,60.41
