Date,Close/Last,Volume,Open,High,Low
12/24/2025,27.66,9031881,27.56,27.67,27.54
12/23/2025,27.54,16626440,27.62,27.64,27.51
12/22/2025,27.62,20436790,27.53,27.6673,27.50
12/19/2025,27.46,20518160,27.48,27.57,27.4316
12/18/2025,27.48,19642930,27.62,27.71,27.4495
12/17/2025,27.60,17679900,27.52,27.63,27.4701
12/16/2025,27.47,20603500,27.73,27.75,27.3894
12/15/2025,27.76,25870940,27.75,27.83,27.64
12/12/2025,27.68,20252930,27.76,27.81,27.61
12/11/2025,27.68,18955300,27.58,27.77,27.575
12/10/2025,27.57,16499540,27.25,27.64,27.205
12/09/2025,27.46,19475970,27.57,27.6999,27.45
12/08/2025,27.58,20370890,27.70,27.71,27.55
12/05/2025,27.71,14265810,27.75,27.90,27.70
12/04/2025,27.75,15934890,27.815,27.88,27.68
12/03/2025,27.80,16300520,27.51,27.84,27.51
12/02/2025,27.40,17595850,27.53,27.54,27.265
12/01/2025,27.53,20224230,27.56,27.73,27.49
11/28/2025,27.59,8406039,27.46,27.64,27.45
11/26/2025,27.45,14495940,27.29,27.57,27.29
11/25/2025,27.32,17863730,27.02,27.34,27.02
11/24/2025,26.95,22398290,27.13,27.165,26.94
11/21/2025,27.10,21087160,26.70,27.30,26.6979
11/20/2025,26.62,21664080,27.01,27.12,26.60
11/19/2025,26.93,17996520,27.03,27.065,26.81
11/18/2025,27.16,17175140,26.94,27.25,26.89
11/17/2025,27.00,17416740,27.23,27.33,26.94
11/14/2025,27.24,19840780,27.22,27.35,27.00
11/13/2025,27.22,21714950,27.24,27.49,27.19
11/12/2025,27.19,15034330,27.17,27.29,27.155
11/11/2025,27.18,16948890,26.82,27.23,26.82
11/10/2025,26.77,19396890,26.76,26.80,26.51
11/07/2025,26.72,18818820,26.55,26.74,26.49
11/06/2025,26.52,15867800,26.55,26.67,26.46
11/05/2025,26.57,16559890,26.43,26.68,26.41
11/04/2025,26.44,18189410,26.37,26.47,26.32
11/03/2025,26.47,20525260,26.65,26.66,26.32
10/31/2025,26.75,16174390,26.59,26.79,26.49
10/30/2025,26.68,18030270,26.64,26.87,26.60
10/29/2025,26.74,22899090,26.98,27.01,26.65
10/28/2025,27.00,19879810,27.13,27.17,27.00
10/27/2025,27.12,17308050,27.10,27.14,27.04
10/24/2025,27.03,14054950,27.17,27.22,27.03
10/23/2025,27.03,13653790,27.11,27.17,26.99
10/22/2025,26.99,13644800,27.02,27.18,26.93
10/21/2025,27.07,14782550,26.99,27.14,26.94
10/20/2025,26.99,13374270,26.82,27.00,26.81
10/17/2025,26.79,14043830,26.61,26.79,26.56
10/16/2025,26.57,18983240,26.82,26.8888,26.47
10/15/2025,26.78,15036860,26.91,27.00,26.63
10/14/2025,26.87,18735120,26.46,26.92,26.44
10/13/2025,26.63,20634890,26.605,26.73,26.56
10/10/2025,26.54,24258340,27.05,27.10,26.53
10/09/2025,27.00,19054270,27.20,27.29,26.95
10/08/2025,27.18,15899850,27.31,27.3293,27.135
10/07/2025,27.28,17220220,27.35,27.3699,27.17
10/06/2025,27.34,16315070,27.47,27.49,27.31
10/03/2025,27.41,15309530,27.37,27.56,27.36
10/02/2025,27.34,15690740,27.46,27.58,27.30
10/01/2025,27.53,18618070,27.28,27.55,27.26
09/30/2025,27.30,18115060,27.04,27.30,27.01
09/29/2025,27.10,25833150,27.27,27.28,27.00
09/26/2025,27.21,16482810,27.10,27.26,27.0799
09/25/2025,26.99,20335230,27.15,27.20,26.96
09/24/2025,27.16,19469330,27.175,27.29,27.13
09/23/2025,27.40,16862880,27.28,27.56,27.27
09/22/2025,27.25,17463720,27.29,27.33,27.20
09/19/2025,27.33,17610920,27.51,27.51,27.27
09/18/2025,27.45,17238340,27.48,27.53,27.35
09/17/2025,27.47,21748080,27.43,27.74,27.35
09/16/2025,27.42,19907660,27.37,27.4986,27.29
09/15/2025,27.34,18547620,27.515,27.52,27.2829
09/12/2025,27.48,14967600,27.69,27.73,27.48
09/11/2025,27.72,13521540,27.51,27.75,27.4701
09/10/2025,27.50,16572080,27.42,27.5399,27.27
09/09/2025,27.45,18576610,27.41,27.54,27.41
