Date,Close/Last,Volume,Open,High,Low
01/16/2026,$155.81,8149305,$159.90,$159.92,$155.565
01/15/2026,$157.99,4860117,$159.65,$161.29,$157.36
01/14/2026,$157.51,10857630,$165.16,$165.16,$153.78
01/13/2026,$167.44,4803117,$168.08,$170.90,$164.70
01/12/2026,$167.93,5616730,$162.531,$168.515,$160.72
01/09/2026,$164.48,5068690,$168.01,$168.91,$163.03
01/08/2026,$168.28,4436246,$167.80,$168.415,$163.6327
01/07/2026,$166.74,4063778,$167.84,$169.55,$164.57
01/06/2026,$168.45,5108052,$163.85,$168.92,$160.335
01/05/2026,$166.21,5824513,$158.84,$166.92,$158.60
01/02/2026,$157.20,6532955,$162.19,$164.30,$155.15
12/31/2025,$160.97,4217081,$163.59,$163.83,$160.75
12/30/2025,$163.74,4812448,$166.98,$167.15,$163.66
12/29/2025,$167.88,3055215,$169.75,$170.88,$167.27
12/26/2025,$170.83,2574362,$169.05,$171.07,$168.095
12/24/2025,$169.45,1832074,$168.79,$170.40,$168.1203
12/23/2025,$169.53,3487521,$168.52,$169.63,$166.91
12/22/2025,$169.67,5399725,$172.71,$172.98,$169.55
12/19/2025,$169.57,13848980,$167.04,$171.77,$167.01
12/18/2025,$166.80,7834995,$167.18,$172.96,$165.30
12/17/2025,$161.73,8759033,$166.53,$170.33,$161.569
12/16/2025,$163.14,6398020,$157.21,$163.66,$155.66
12/15/2025,$159.85,6927302,$166.69,$169.39,$159.52
12/12/2025,$164.19,6266392,$164.67,$164.67,$159.10
12/11/2025,$164.75,5191971,$167.48,$167.57,$162.38
12/10/2025,$168.42,7503449,$158.65,$168.93,$158.11
12/09/2025,$159.89,4823768,$158.60,$162.447,$158.09
12/08/2025,$158.41,4834478,$161.91,$163.77,$156.31
12/05/2025,$161.08,5440112,$161.95,$163.15,$158.94
12/04/2025,$162.31,5414975,$160.34,$163.26,$157.87
12/03/2025,$160.00,5579818,$156.00,$161.225,$155.20
12/02/2025,$156.83,8429278,$153.46,$158.7399,$152.13
12/01/2025,$149.28,11746760,$152.80,$155.56,$149.09
11/28/2025,$158.64,4200902,$160.00,$161.00,$157.85
11/26/2025,$159.34,5239075,$158.32,$160.58,$157.42
11/25/2025,$157.37,8587888,$154.58,$158.31,$151.38
11/24/2025,$155.31,9141924,$149.02,$156.35,$147.08
11/21/2025,$147.80,10260290,$144.57,$149.88,$142.43
11/20/2025,$144.56,13447270,$154.485,$154.87,$143.81
11/19/2025,$146.00,9571952,$141.70,$147.05,$140.6127
11/18/2025,$140.45,12873840,$137.50,$142.42,$136.18
11/17/2025,$139.93,12531790,$143.65,$145.30,$138.71
11/14/2025,$146.04,8384260,$142.33,$149.72,$141.00
11/13/2025,$146.34,11351210,$153.84,$155.00,$143.80
11/12/2025,$156.59,6585727,$160.11,$160.494,$156.23
11/11/2025,$158.94,5344189,$156.83,$160.04,$155.52
11/10/2025,$158.88,10493260,$157.115,$159.63,$155.75
11/07/2025,$152.41,11322790,$153.945,$154.00,$146.88
11/06/2025,$156.05,10029970,$162.425,$163.09,$155.34
11/05/2025,$162.92,9710580,$159.56,$166.685,$156.231
11/04/2025,$160.94,16121560,$163.065,$174.1339,$160.46
11/03/2025,$172.94,14631540,$175.50,$178.3752,$169.72
10/31/2025,$173.86,10953270,$178.95,$179.76,$171.69
10/30/2025,$173.61,9394477,$176.925,$178.23,$172.69
10/29/2025,$179.01,10790100,$180.00,$182.19,$176.30
10/28/2025,$178.96,7167845,$173.425,$179.60,$172.80
10/27/2025,$175.06,9929506,$174.78,$176.88,$172.635
10/24/2025,$172.95,8382276,$168.50,$174.74,$168.50
10/23/2025,$167.03,6171509,$162.50,$167.67,$162.1407
10/22/2025,$162.01,6207043,$162.49,$163.35,$159.2342
10/21/2025,$162.64,6138473,$164.79,$165.20,$161.11
10/20/2025,$164.71,6266170,$159.425,$165.08,$159.425
10/17/2025,$157.76,7595124,$155.88,$158.9067,$154.53
10/16/2025,$156.57,8937717,$160.76,$164.95,$155.89
10/15/2025,$156.21,6010040,$154.95,$158.665,$154.244
10/14/2025,$152.88,8698219,$148.42,$154.9199,$145.16
10/13/2025,$153.66,7986449,$154.115,$154.9716,$151.10
10/10/2025,$151.02,12431510,$164.01,$165.2535,$150.6019
10/09/2025,$163.87,7050463,$166.695,$167.5991,$162.4703
10/08/2025,$166.43,7366628,$163.00,$167.54,$163.00
10/07/2025,$161.28,6971906,$165.00,$168.3975,$160.74
10/06/2025,$164.50,11317600,$166.55,$169.69,$162.81
10/03/2025,$161.14,15740150,$152.88,$162.60,$152.50
10/02/2025,$151.30,7272336,$151.25,$151.47,$147.855
10/01/2025,$149.57,6733313,$146.28,$151.7435,$146.10
09/30/2025,$148.61,9254605,$147.99,$151.78,$145.47
09/29/2025,$149.00,14702730,$141.75,$149.58,$140.91
09/26/2025,$140.25,7259536,$143.12,$144.00,$139.50
09/25/2025,$143.45,8511187,$145.00,$145.14,$142.09
09/24/2025,$148.83,5559529,$150.79,$152.31,$148.28
09/23/2025,$149.94,7376009,$157.10,$157.1897,$149.10
09/22/2025,$157.12,7020654,$153.18,$159.01,$151.81
09/19/2025,$153.30,8812925,$151.96,$155.13,$151.75
09/18/2025,$152.11,6485760,$149.50,$152.93,$148.19
09/17/2025,$147.87,4291166,$148.47,$149.10,$145.3701
09/16/2025,$147.21,5453814,$149.09,$150.17,$145.20
09/15/2025,$147.89,6714579,$144.24,$148.20,$142.89
09/12/2025,$143.38,4911589,$143.52,$144.62,$141.52
09/11/2025,$145.03,6051931,$142.05,$146.9899,$142.05
09/10/2025,$142.20,7362068,$144.55,$145.46,$141.30
09/09/2025,$143.44,5748594,$145.025,$146.61,$142.85
09/08/2025,$146.22,5782068,$147.56,$148.57,$144.0784
09/05/2025,$146.82,5727702,$146.59,$147.97,$144.92
09/04/2025,$145.15,6538657,$140.905,$145.61,$140.0732
09/03/2025,$140.22,3531532,$140.00,$140.9865,$138.1127
09/02/2025,$139.04,5082282,$136.95,$139.32,$133.40
08/29/2025,$141.28,4617005,$141.43,$143.09,$139.91
08/28/2025,$141.54,6339616,$140.82,$144.20,$140.59
08/27/2025,$139.89,5272225,$142.08,$142.50,$137.2801
08/26/2025,$140.85,4409033,$140.89,$141.18,$139.12
08/25/2025,$140.53,4944975,$140.75,$142.8564,$139.50
08/22/2025,$142.11,7649750,$136.78,$143.17,$135.385
08/21/2025,$136.68,4420400,$136.26,$137.96,$134.88
08/20/2025,$137.29,7255986,$137.92,$138.53,$134.75
08/19/2025,$139.25,6339544,$143.00,$144.41,$138.97
08/18/2025,$143.11,4435692,$141.385,$143.37,$140.07
08/15/2025,$141.47,7198849,$144.27,$145.22,$140.7001
08/14/2025,$144.27,9499666,$148.375,$148.50,$142.93
08/13/2025,$150.09,6660684,$150.21,$151.65,$148.39
08/12/2025,$149.30,7176148,$148.025,$150.70,$147.08
08/11/2025,$147.50,10131030,$150.755,$153.32,$147.22
08/08/2025,$149.61,9571003,$150.49,$150.73,$148.03
08/07/2025,$151.07,15934840,$154.46,$156.85,$147.5001
08/06/2025,$154.90,38572100,$145.16,$156.3899,$145.11
08/05/2025,$127.00,9223309,$125.00,$127.23,$123.00
08/04/2025,$125.21,6881693,$120.23,$125.49,$120.23
08/01/2025,$118.60,9886738,$118.05,$120.19,$115.95
07/31/2025,$122.21,8493505,$125.35,$126.58,$122.05
07/30/2025,$123.01,6702702,$123.97,$125.94,$122.16
07/29/2025,$124.85,5911789,$126.595,$127.62,$123.28
07/28/2025,$126.84,5335823,$126.10,$128.15,$125.8101
07/25/2025,$124.43,6935305,$122.19,$125.57,$121.60
07/24/2025,$122.08,4313070,$122.85,$122.85,$120.71
07/23/2025,$122.21,8523610,$122.81,$123.11,$118.87
07/22/2025,$123.71,9045397,$126.595,$127.238,$122.54
07/21/2025,$128.43,6419807,$126.835,$129.29,$126.60
07/18/2025,$127.07,8473645,$127.83,$129.08,$125.89
07/17/2025,$126.75,13380630,$120.04,$127.3399,$119.67
07/16/2025,$120.00,12714130,$114.29,$120.18,$112.59
07/15/2025,$115.05,5440481,$116.99,$118.65,$114.65
07/14/2025,$116.74,10225370,$112.90,$118.46,$111.725
07/11/2025,$112.11,5582784,$114.03,$116.31,$111.39
07/10/2025,$115.16,6837733,$114.46,$116.54,$112.36
07/09/2025,$114.32,6125808,$113.17,$114.93,$112.59
07/08/2025,$112.48,7718012,$117.414,$118.35,$111.33
07/07/2025,$116.66,5420494,$115.95,$117.07,$114.89
07/03/2025,$116.52,3773554,$114.98,$117.46,$114.97
07/02/2025,$114.77,6726143,$111.80,$117.175,$111.78
07/01/2025,$112.67,5537867,$114.31,$116.12,$112.07
06/30/2025,$115.35,7107469,$115.09,$116.60,$113.96
06/27/2025,$113.65,6377920,$113.09,$115.06,$111.9101
06/26/2025,$113.07,11368230,$113.76,$113.76,$108.33
06/25/2025,$113.89,9134688,$114.28,$114.50,$112.86
06/24/2025,$114.42,8907543,$112.23,$115.16,$111.85
06/23/2025,$109.98,8834016,$106.195,$110.06,$103.9117
06/20/2025,$106.40,10354900,$107.72,$109.12,$105.73
06/18/2025,$105.97,5960442,$106.52,$107.7002,$105.30
