act_symbol,ex_date,to_factor,for_factor
AA,2016-10-06,1.00000,3.00000
AADI,2021-08-24,2.00000,1.00000
AADI,2021-08-27,1.00000,15.00000
AAMC,2023-09-14,2.00000,1.00000
AAMC,2023-11-01,2.42857,1.42857
AAON,2014-07-16,3.00000,2.00000
AAON,2023-08-17,3.00000,2.00000
AAPL,2014-06-09,7.00000,1.00000
AAPL,2020-08-31,4.00000,1.00000
ABEO,2022-07-05,1.00000,25.00000
ABIL,2018-03-23,1.00000,10.00000
ABIO,2019-04-04,1.00000,18.00000
ABIO,2024-09-03,1.00000,12.00000
ABNY,2025-12-02,1.00000,5.00000
ABP,2025-11-03,1.00000,30.00000
ABTS,2025-03-10,1.00000,15.00000
ABVC,2023-07-25,1.00000,10.00000
ACB,2024-02-20,1.00000,10.00000
ACET,2025-12-30,1.00000,16.00000
ACGL,2018-06-21,3.00000,1.00000
ACGN,2023-01-18,1.00000,17.00000
ACHV,2018-05-24,1.00000,10.00000
ACLS,2016-06-30,1.00000,4.00000
ACMR,2022-03-24,3.00000,1.00000
ACON,2024-01-04,1.00000,16.00000
ACON,2025-01-30,1.00000,335.00000
ACON,2025-03-28,1.00000,27.00000
ACOR,2021-01-04,1.00000,6.00000
ACOR,2023-06-05,1.00000,20.00000
ACR,2021-02-17,1.00000,3.00000
ACRX,2022-10-26,1.00000,20.00000
ACST,2021-08-31,1.00000,8.00000
ACST,2023-07-10,1.00000,6.00000
ACXP,2025-08-05,1.00000,20.00000
ACY,2022-01-10,5.00000,1.00000
ADD,2024-11-15,1.00000,100.00000
ADD,2025-08-22,1.00000,25.00000
ADIL,2023-08-07,1.00000,25.00000
ADIL,2026-02-06,1.00000,25.00000
ADMP,2023-05-22,1.00000,70.00000
ADN,2024-05-14,1.00000,30.00000
ADTX,2022-09-14,1.00000,50.00000
ADTX,2023-08-18,1.00000,40.00000
ADTX,2024-10-02,1.00000,40.00000
ADTX,2025-03-17,1.00000,250.00000
ADTX,2025-11-03,1.00000,113.00000
ADVM,2024-03-21,1.00000,10.00000
ADXN,2023-10-23,1.00000,20.00000
ADXS,2019-03-29,1.00000,15.00000
AEHL,2023-09-18,1.00000,10.00000
AEHL,2025-04-04,1.00000,40.00000
AEI,2022-12-28,1.00000,20.00000
AEMD,2019-10-15,1.00000,15.00000
AEMD,2023-10-05,1.00000,10.00000
AEMD,2025-06-09,1.00000,8.00000
AEMD,2025-10-20,1.00000,10.00000
AENZ,2022-11-22,1.00000,3.00000
AEON,2025-02-26,1.00000,72.00000
AEVA,2024-03-19,1.00000,5.00000
AEY,2023-11-16,1.00000,10.00000
AEZS,2022-07-21,1.00000,25.00000
AEZS,2024-05-03,1.00000,4.00000
AEZS,2024-06-03,1.47698,1.00000
AFL,2018-03-16,2.00000,1.00000
AFMD,2024-03-11,1.00000,10.00000
AGBA,2024-10-02,1.93650,1.00000
AGBA,2024-10-16,1.00000,4.00000
AGE,2024-03-15,1.00000,35.17000
AGE,2024-03-18,8.00000,5.00000
AGEN,2024-04-12,1.00000,20.00000
AGFY,2022-10-18,1.00000,10.00000
AGFY,2023-07-05,1.00000,20.00000
AGFY,2024-10-08,1.00000,15.00000
AGLE,2023-06-30,2.00000,1.00000
AGLE,2023-09-08,1.00000,25.00000
AGMH,2025-06-03,1.00000,50.00000
AGRI,2023-10-11,1.00000,50.00000
AGRI,2024-12-05,1.00000,100.00000
AGRI,2025-07-28,1.00000,9.00000
AGRX,2022-04-27,1.00000,40.00000
AGRX,2023-04-11,1.00000,50.00000
AGZD,2023-08-10,2.00000,1.00000
AHC,2021-06-08,1.00000,4.00000
AHI,2023-06-29,1.00000,4.00000
AHI,2023-06-30,1.00000,4.00000
AHT,2020-07-16,1.00000,10.00000
AHT,2021-07-19,1.00000,10.00000
AHT,2024-10-28,1.00000,10.00000
AIFU,2025-05-21,1.00000,20.00000
AIHS,2022-04-06,1.00000,10.00000
AIHS,2025-07-29,1.00000,10.00000
AIKI,2022-06-07,1.00000,17.00000
AIM,2026-01-09,1001.00000,1000.00000
AIMD,2022-08-09,1.00000,15.00000
AIMD,2023-12-14,1.00000,5.00000
AIMD,2025-06-30,1.00000,5.00000
AINC,2024-07-29,10000.00000,1.00000
AINV,2018-11-30,1.00000,3.00000
AINV,2018-12-03,1.00000,3.00000
AIRI,2022-10-18,1.00000,10.00000
AIRT,2019-06-07,3.00000,2.00000
AIRT,2019-06-10,3.00000,2.00000
AIU,2024-07-29,1.00000,5.00000
AIV,2019-02-20,0.00000,0.00000
AIV,2019-02-21,33.00000,32.00000
AIV,2020-12-01,1.00000,1.23821
AIXI,2024-08-23,1.00000,9.00000
AIYY,2025-12-02,1.00000,10.00000
AKA,2023-10-02,1.00000,12.00000
AKAN,2023-03-09,1.00000,10.00000
AKAN,2024-05-23,1.00000,40.00000
AKAN,2024-11-14,1.00000,2.00000
AKAN,2025-08-26,1.00000,3.12500
AKAN,2026-01-12,1.00000,5.00000
AKER,2018-11-08,1.00000,8.00000
AKER,2019-11-25,1.00000,24.00000
AKTX,2023-08-17,1.00000,20.00000
ALAC,2021-04-21,2.00000,1.00000
ALBT,2023-01-05,1.00000,10.00000
ALBT,2024-10-28,1.00000,15.00000
ALCE,2024-10-11,1.00000,25.00000
ALCE,2025-09-05,1.00000,200.00000
ALGS,2024-08-19,1.00000,25.00000
ALK,2014-07-09,2.00000,1.00000
ALLR,2023-03-27,1.00000,35.00000
ALLR,2023-06-29,1.00000,40.00000
ALLR,2024-04-09,1.00000,20.00000
ALLR,2024-09-11,1.00000,30.00000
ALM,2025-07-07,1.00000,1.50000
ALPP,2023-05-15,1.00000,8.00000
ALQA,2017-10-06,1.00000,10.00000
ALRN,2022-11-11,1.00000,20.00000
ALT,2018-09-14,1.00000,30.00000
ALTM,2020-07-01,1.00000,20.00000
ALUR,2025-01-03,1.00000,25.00000
ALVR,2025-01-16,1.00000,23.00000
