Date,Close/Last,Volume,Open,High,Low
12/22/2025,$11.08,19037760,$11.40,$11.435,$11.01
12/19/2025,$11.54,9881697,$11.62,$11.695,$11.53
12/18/2025,$11.65,10212960,$11.74,$11.7773,$11.62
12/17/2025,$11.67,7697180,$11.67,$11.845,$11.655
12/16/2025,$11.83,10103840,$11.93,$12.00,$11.765
12/15/2025,$11.93,9161521,$11.90,$11.975,$11.77
12/12/2025,$11.78,8065390,$11.89,$11.935,$11.75
12/11/2025,$11.80,11625700,$11.76,$11.84,$11.705
12/10/2025,$12.12,11751160,$11.84,$12.145,$11.75
12/09/2025,$11.68,9434064,$11.79,$11.89,$11.66
12/08/2025,$11.94,5971047,$11.95,$12.025,$11.90
12/05/2025,$12.05,14051170,$12.08,$12.2199,$12.03
12/04/2025,$11.84,13709820,$11.925,$11.99,$11.815
12/03/2025,$11.46,15786830,$11.18,$11.51,$11.17
12/02/2025,$10.95,21868380,$10.645,$10.97,$10.56
12/01/2025,$10.65,9176781,$10.54,$10.8358,$10.53
11/28/2025,$10.66,6294621,$10.47,$10.68,$10.465
11/26/2025,$10.32,11528620,$10.29,$10.43,$10.28
11/25/2025,$10.54,19701040,$10.20,$10.57,$10.18
11/24/2025,$10.13,9029380,$9.94,$10.17,$9.94
11/21/2025,$9.87,20068040,$9.62,$9.96,$9.59
11/20/2025,$9.23,16922790,$9.58,$9.655,$9.22
11/19/2025,$9.69,7814899,$9.77,$9.835,$9.66
11/18/2025,$9.74,11149850,$9.71,$9.81,$9.615
11/17/2025,$9.98,15865700,$10.31,$10.31,$9.91
11/14/2025,$10.38,9880561,$10.32,$10.52,$10.30
11/13/2025,$10.62,12743130,$10.75,$10.856,$10.60
11/12/2025,$10.72,11809370,$10.77,$10.88,$10.6645
11/11/2025,$10.76,22596230,$10.55,$10.89,$10.52
11/10/2025,$10.36,15996270,$10.42,$10.4486,$10.25
11/07/2025,$10.24,13064240,$10.10,$10.265,$10.045
11/06/2025,$10.08,18248390,$10.23,$10.2999,$10.01
11/05/2025,$10.25,17474800,$10.06,$10.36,$10.03
11/04/2025,$9.82,15759780,$9.89,$9.98,$9.81
11/03/2025,$10.22,14273360,$10.20,$10.24,$10.09
10/31/2025,$10.14,11774880,$10.295,$10.30,$10.07
10/30/2025,$10.14,25420080,$10.16,$10.3565,$9.97
10/29/2025,$11.21,20943220,$11.27,$11.43,$11.095
10/28/2025,$11.31,25327970,$11.02,$11.31,$11.005
10/27/2025,$10.94,13183250,$11.02,$11.06,$10.90
10/24/2025,$10.88,13328790,$10.865,$11.00,$10.82
10/23/2025,$10.76,12123700,$10.77,$10.805,$10.6301
10/22/2025,$10.80,19989520,$10.80,$10.94,$10.7224
10/21/2025,$11.12,21513970,$10.84,$11.14,$10.765
10/20/2025,$10.69,16631530,$10.49,$10.75,$10.465
10/17/2025,$10.56,21951420,$10.35,$10.56,$10.315
10/16/2025,$10.23,20241020,$10.19,$10.37,$10.1208
10/15/2025,$10.12,19476850,$9.95,$10.15,$9.90
10/14/2025,$9.91,21744560,$9.68,$9.925,$9.65
10/13/2025,$10.17,19063910,$10.13,$10.23,$10.055
10/10/2025,$9.81,21041880,$10.67,$10.67,$9.81
