,Unnamed: 0,act_symbol,sector
0,0,A,LABORATORY ANALYTICAL INSTRUMENTS
1,1,AACG,SERVICES-EDUCATIONAL SERVICES
2,2,AAIC,REAL ESTATE INVESTMENT TRUSTS
3,3,AAME,LIFE INSURANCE
4,4,AAON,AIR COND &amp; WARM AIR HEATING EQUIP &amp; COMM &amp; INDL REFRIG EQUIP
5,5,AAP,RETAIL-AUTO &amp; HOME SUPPLY STORES
6,6,AAPL,ELECTRONIC COMPUTERS
7,7,AAU,METAL MINING
8,8,AAWW,"AIR TRANSPORTATION, NONSCHEDULED"
9,9,AB,INVESTMENT ADVICE
10,10,ABB,SWITCHGEAR &amp; SWITCHBOARD APPARATUS
11,11,ABC,WHOLESALE-DRUGS PROPRIETARIES &amp; DRUGGISTS&#39; SUNDRIES
12,12,ABCB,STATE COMMERCIAL BANKS
13,13,ABEO,PHARMACEUTICAL PREPARATIONS
14,14,ABG,RETAIL-AUTO DEALERS &amp; GASOLINE STATIONS
15,15,ABIO,PHARMACEUTICAL PREPARATIONS
16,16,ABM,SERVICES-TO DWELLINGS &amp; OTHER BUILDINGS
17,17,ABMD,SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS
18,18,ABR,REAL ESTATE INVESTMENT TRUSTS
19,19,ABT,PHARMACEUTICAL PREPARATIONS
20,20,ABUS,PHARMACEUTICAL PREPARATIONS
21,21,ACAD,PHARMACEUTICAL PREPARATIONS
22,22,ACC,Real Estate Investment Trusts
23,23,ACCO,"BLANKBOOKS, LOOSELEAF BINDERS &amp; BOOKBINDING &amp; RELATED WORK"
24,24,ACER,PHARMACEUTICAL PREPARATIONS
25,25,ACGL,"FIRE, MARINE &amp; CASUALTY INSURANCE"
26,26,ACH,PRIMARY PRODUCTION OF ALUMINUM
27,27,ACHV,IN VITRO &amp; IN VIVO DIAGNOSTIC SUBSTANCES
28,28,ACIW,SERVICES-PREPACKAGED SOFTWARE
29,29,ACLS,"SPECIAL INDUSTRY MACHINERY, NEC"
30,30,ACM,SERVICES-ENGINEERING SERVICES
31,31,ACN,"SERVICES-BUSINESS SERVICES, NEC"
32,32,ACNB,STATE COMMERCIAL BANKS
33,33,ACOR,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
34,34,ACR,REAL ESTATE INVESTMENT TRUSTS
35,35,ACTG,PATENT OWNERS &amp; LESSORS
36,36,ACU,"CUTLERY, HANDTOOLS &amp; GENERAL HARDWARE"
37,37,ACY,Services-Motion Picture & Video Tape Production
38,38,ADBE,SERVICES-PREPACKAGED SOFTWARE
39,39,ADC,REAL ESTATE INVESTMENT TRUSTS
40,40,ADES,MISCELLANEOUS CHEMICAL PRODUCTS
41,41,ADI,SEMICONDUCTORS &amp; RELATED DEVICES
42,42,ADM,FATS &amp; OILS
43,43,ADMP,PHARMACEUTICAL PREPARATIONS
44,44,ADP,SERVICES-COMPUTER PROCESSING &amp; DATA PREPARATION
45,45,ADS,Personal Credit Institutions
46,46,ADSK,SERVICES-PREPACKAGED SOFTWARE
47,47,ADTN,TELEPHONE &amp; TELEGRAPH APPARATUS
48,48,ADUS,SERVICES-HOME HEALTH CARE SERVICES
49,49,ADX,Financial Services
50,50,ADXS,PHARMACEUTICAL PREPARATIONS
51,51,AE,WHOLESALE-PETROLEUM &amp; PETROLEUM PRODUCTS (NO BULK STATIONS)
52,52,AEB,Life Insurance
53,53,AEE,ELECTRIC &amp; OTHER SERVICES COMBINED
54,54,AEF,Financial Services
55,55,AEG,LIFE INSURANCE
56,56,AEGN,"Water, Sewer, Pipeline, Comm & Power Line Construction"
57,57,AEHL,"COMMUNICATION SERVICES, NEC"
58,58,AEHR,INSTRUMENTS FOR MEAS &amp; TESTING OF ELECTRICITY &amp; ELEC SIGNALS
59,59,AEIS,"ELECTRONIC COMPONENTS, NEC"
